"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"55",19,19,"🇨🇳","Sui / Han",42.08,36.86,78.94,3.47,9.21,2022,"GPCAN","SP"
"56",20,20,"🇨🇳","Sui / Han",40.53,37.09,77.62,2.87,9.24,2021,"WC","SP"
"57",21,21,"🇨🇳","Sui / Han",40.5,37,77.5,2.63,9.21,2020,"GPF","SP"
"58",22,22,"🇨🇳","Sui / Han",39.9,35.29,74.19,2.23,8.8,2019,"4CC","SP"
"59",23,23,"🇨🇳","Sui / Han",37.3,35.87,73.17,2.45,8.94,2020,"4CC","SP"
"60",1,1,"🇺🇸","Knierim / Frazier",72.72,71.49,144.21,2.98,8.92,2022,"WC","FS"
"61",2,2,"🇺🇸","Knierim / Frazier",68.97,69.48,138.45,2.49,8.68,2022,"OLY","FS"
"62",3,3,"🇺🇸","Knierim / Frazier",69.06,67.54,136.6,2.26,8.44,2022,"GPUSA","FS"
"63",4,4,"🇺🇸","Knierim / Frazier",70.07,66.39,136.46,2.2,8.29,2022,"JNPCHA","FS"
"64",5,5,"🇺🇸","Knierim / Frazier",69.38,66.66,136.04,2.11,8.34,2022,"CRNCUP","FS"
"65",6,6,"🇺🇸","Knierim / Frazier",68.83,64.8,133.63,1.8,8.11,2021,"WTT","FS"
"66",7,7,"🇺🇸","Knierim / Frazier",64.77,67.77,131.54,1.78,8.48,2022,"GPFRA","FS"
"67",8,8,"🇺🇸","Knierim / Frazier",62.74,66.23,128.97,1.15,8.23,2022,"OLYT","FS"
"68",9,9,"🇺🇸","Knierim / Frazier",63.22,64.21,127.43,1.06,7.97,2021,"WC","FS"
"69",10,10,"🇺🇸","Knierim / Frazier",57.89,63.36,120.25,0.68,7.91,2022,"GLDSPN","FS"
"70",11,11,"🇺🇸","Knierim / Frazier",42.11,34.77,76.88,2.95,8.68,2022,"WC","SP"
"71",12,12,"🇺🇸","Knierim / Frazier",42.01,34.08,76.09,2.73,8.46,2022,"JNPCHA","SP"
