"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"230",29,29,"🇨🇳","Peng / Jin",36.44,33.23,69.67,1.39,8.35,2020,"GPF","SP"
"231",30,30,"🇨🇳","Peng / Jin",36.86,33.62,69.48,1.8,8.43,2019,"4CC","SP"
"232",31,31,"🇨🇳","Peng / Jin",36.33,33.17,68.5,1.26,8.31,2020,"GPCHN","SP"
"233",32,32,"🇨🇳","Peng / Jin",36.06,32.84,67.9,1.73,8.22,2020,"USCLA","SP"
"234",33,33,"🇨🇳","Peng / Jin",35.57,32.84,66.41,1.61,8.26,2022,"ASNTRO","SP"
"235",1,1,"🇯🇵","Miura / Kihara",69.95,71.09,141.04,2.56,8.87,2022,"OLY","FS"
"236",2,2,"🇯🇵","Miura / Kihara",70.11,69.49,139.6,2.27,8.69,2022,"OLYT","FS"
"237",3,3,"🇯🇵","Miura / Kihara",68.24,68.33,135.57,1.99,8.54,2022,"GPUSA","FS"
"238",4,4,"🇯🇵","Miura / Kihara",66.79,68.65,135.44,2.24,8.59,2022,"GPJPN","FS"
"239",5,5,"🇯🇵","Miura / Kihara",66.06,65.68,131.74,1.91,8.14,2022,"ATMCLA","FS"
"240",6,6,"🇯🇵","Miura / Kihara",66.11,64.72,130.83,1.78,8.07,2021,"WTT","FS"
"241",7,7,"🇯🇵","Miura / Kihara",60.97,68,127.97,0.98,8.48,2022,"WC","FS"
"242",8,8,"🇯🇵","Miura / Kihara",60.24,60.8,120.04,0.94,7.59,2021,"WC","FS"
"243",9,9,"🇯🇵","Miura / Kihara",60.15,58.38,117.53,0.94,7.31,2020,"GPJPN","FS"
"244",10,10,"🇯🇵","Miura / Kihara",55.22,54.83,110.05,0.42,6.82,2020,"4CC","FS"
"245",11,11,"🇯🇵","Miura / Kihara",39.83,34.62,74.45,2.68,8.67,2022,"OLYT","SP"
"246",12,12,"🇯🇵","Miura / Kihara",40,33.98,73.98,2.68,8.49,2022,"GPJPN","SP"
"247",13,13,"🇯🇵","Miura / Kihara",38.77,33.86,72.63,2.36,8.45,2022,"GPUSA","SP"
"248",14,14,"🇯🇵","Miura / Kihara",41.12,31.2,72.32,2.51,7.79,2022,"ATMCLA","SP"
"249",15,15,"🇯🇵","Miura / Kihara",36.43,35.15,71.58,1.92,8.7,2022,"WC","SP"
"250",16,16,"🇯🇵","Miura / Kihara",36.39,34.46,70.85,2.24,8.61,2022,"OLY","SP"
"251",17,17,"🇯🇵","Miura / Kihara",35.66,31.16,65.82,1.39,7.79,2021,"WTT","SP"
"252",18,18,"🇯🇵","Miura / Kihara",34.97,29.4,64.37,1.61,7.32,2021,"WC","SP"
"253",19,19,"🇯🇵","Miura / Kihara",34.76,27.65,62.41,1.3,6.91,2020,"GPJPN","SP"
"254",20,20,"🇯🇵","Miura / Kihara",30.06,27.39,57.45,0,6.8,2020,"4CC","SP"
"255",1,1,"🇮🇹","Della Monica / Guarise",65.67,66.84,131.51,2.14,8.35,2019,"GPRUS","FS"
"256",2,2,"🇮🇹","Della Monica / Guarise",64.63,66.81,131.44,1.8,8.36,2019,"EC","FS"
"257",3,3,"🇮🇹","Della Monica / Guarise",64.64,66.21,130.85,2.1,8.28,2019,"WTT","FS"
"258",4,4,"🇮🇹","Della Monica / Guarise",62.16,66.29,128.45,1.58,8.29,2019,"WC","FS"
"259",5,5,"🇮🇹","Della Monica / Guarise",63.92,64.32,128.24,1.29,8.06,2021,"WTT","FS"
"260",6,6,"🇮🇹","Della Monica / Guarise",63.99,62.56,126.55,1.48,7.81,2021,"WC","FS"
"261",7,7,"🇮🇹","Della Monica / Guarise",60.05,64.91,123.96,1.12,8.14,2020,"EC","FS"
"262",8,8,"🇮🇹","Della Monica / Guarise",57.32,63.32,118.64,0.95,7.94,2020,"GPCHN","FS"
"263",9,9,"🇮🇹","Della Monica / Guarise",55.59,64.27,117.86,0.76,7.97,2019,"GPF","FS"
"264",10,10,"🇮🇹","Della Monica / Guarise",54.86,63.73,117.59,0.87,7.93,2019,"GPFIN","FS"
"265",11,11,"🇮🇹","Della Monica / Guarise",54.05,62.24,116.29,0.89,7.79,2022,"OLY","FS"
"266",12,12,"🇮🇹","Della Monica / Guarise",54.09,62.66,115.75,0.49,7.76,2022,"LOMTRO","FS"
"267",13,13,"🇮🇹","Della Monica / Guarise",53.31,61.83,114.14,0.3,7.71,2022,"GPITA","FS"
"268",14,14,"🇮🇹","Della Monica / Guarise",53.74,61.14,113.88,0.15,7.65,2020,"GPJPN","FS"
"269",15,15,"🇮🇹","Della Monica / Guarise",51.04,61.89,112.93,1.04,7.73,2022,"GPRUS","FS"
"270",16,16,"🇮🇹","Della Monica / Guarise",50.29,60.96,111.25,1.32,7.62,2019,"LOMTRO","FS"
"271",17,17,"🇮🇹","Della Monica / Guarise",49.94,60.26,108.2,0.47,7.58,2020,"ICELAB","FS"
"272",18,18,"🇮🇹","Della Monica / Guarise",40.58,33.12,73.7,2.86,8.31,2019,"EC","SP"
"273",19,19,"🇮🇹","Della Monica / Guarise",40.69,31.66,72.35,2.78,7.86,2022,"LOMTRO","SP"
"274",20,20,"🇮🇹","Della Monica / Guarise",39.61,32.71,72.32,2.9,8.17,2019,"GPRUS","SP"
"275",21,21,"🇮🇹","Della Monica / Guarise",39.05,31.43,70.48,1.79,7.82,2020,"EC","SP"
"276",22,22,"🇮🇹","Della Monica / Guarise",36.77,33,69.77,1.9,8.26,2019,"GPF","SP"
"277",23,22,"🇮🇹","Della Monica / Guarise",36.87,32.9,69.77,1.55,8.2,2019,"WTT","SP"
"278",24,24,"🇮🇹","Della Monica / Guarise",36.47,31.71,68.18,1.9,7.89,2019,"GPFIN","SP"
"279",25,25,"🇮🇹","Della Monica / Guarise",34.4,32.89,67.29,2.1,8.16,2019,"WC","SP"
"280",26,26,"🇮🇹","Della Monica / Guarise",35.41,31.52,66.93,1.77,7.87,2019,"LOMTRO","SP"
"281",27,27,"🇮🇹","Della Monica / Guarise",34.05,32.04,66.09,1.02,7.97,2021,"WTT","SP"
"282",28,28,"🇮🇹","Della Monica / Guarise",35.6,31.52,65.12,1.22,7.86,2022,"GPITA","SP"
"283",29,29,"🇮🇹","Della Monica / Guarise",34.67,31.57,64.24,0.67,7.85,2020,"GPCHN","SP"
"284",30,30,"🇮🇹","Della Monica / Guarise",33.16,31.42,63.58,1.07,7.81,2022,"OLY","SP"
"285",31,31,"🇮🇹","Della Monica / Guarise",33.97,29.62,62.59,0.87,7.51,2020,"ICELAB","SP"
"286",32,32,"🇮🇹","Della Monica / Guarise",30.75,30.55,60.3,0.22,7.59,2022,"OLYT","SP"
"287",33,33,"🇮🇹","Della Monica / Guarise",28.98,31.97,59.95,0.78,7.97,2021,"WC","SP"
"288",34,34,"🇮🇹","Della Monica / Guarise",31.01,29.91,59.92,0.36,7.52,2022,"GPRUS","SP"
"289",35,35,"🇮🇹","Della Monica / Guarise",26.55,31,57.55,0.79,7.71,2020,"GPJPN","SP"
"290",1,1,"🇬🇪","Safina / Berulava",63.88,62.45,126.33,1.8,7.79,2022,"OLY","FS"
"291",2,2,"🇬🇪","Safina / Berulava",61.25,63.13,124.38,1.89,7.88,2022,"WC","FS"
"292",3,3,"🇬🇪","Safina / Berulava",62.3,59.82,122.12,1.51,7.48,2022,"EC","FS"
"293",4,4,"🇬🇪","Safina / Berulava",59.4,60.95,120.35,1.81,7.63,2022,"WJC","FS"
"294",5,5,"🇬🇪","Safina / Berulava",58.63,57.6,116.23,1.93,7.23,2022,"JGPAUT","FS"
"295",6,6,"🇬🇪","Safina / Berulava",54.42,58.96,112.38,0.51,7.36,2022,"GLDSPN","FS"
"296",7,7,"🇬🇪","Safina / Berulava",54.16,57.54,111.7,1.75,7.26,2022,"NEBTRO","FS"
"297",8,8,"🇬🇪","Safina / Berulava",54.92,55.7,110.62,1.22,6.98,2022,"JGPSVK","FS"
"298",9,9,"🇬🇪","Safina / Berulava",37.06,30.71,67.77,2.55,7.59,2022,"WJC","SP"
"299",10,10,"🇬🇪","Safina / Berulava",36.64,30.72,67.36,2.16,7.7,2022,"WC","SP"
"300",11,11,"🇬🇪","Safina / Berulava",37.55,29.4,66.95,1.56,7.21,2022,"GLDSPN","SP"
"301",12,12,"🇬🇪","Safina / Berulava",37.66,28.8,66.46,1.63,7.25,2022,"NEBTRO","SP"
"302",13,13,"🇬🇪","Safina / Berulava",36.74,29.37,66.11,2.13,7.37,2022,"OLY","SP"
"303",14,14,"🇬🇪","Safina / Berulava",35.59,29.2,64.79,1.82,7.28,2022,"OLYT","SP"
"304",15,15,"🇬🇪","Safina / Berulava",34.67,28.37,63.04,1.98,7.08,2022,"JGPAUT","SP"
"305",16,16,"🇬🇪","Safina / Berulava",34.43,28.5,61.93,1.07,7.13,2022,"EC","SP"
"306",17,17,"🇬🇪","Safina / Berulava",30.84,26.8,57.64,1.19,6.67,2022,"JGPSVK","SP"
"307",1,1,"🇩🇪","Hase / Seegert",60.62,62.7,123.32,1.29,7.83,2022,"WC","FS"
"308",2,2,"🇩🇪","Hase / Seegert",60.36,62.82,123.18,1.36,7.84,2022,"FINTRO","FS"
"309",3,3,"🇩🇪","Hase / Seegert",63.05,57.43,120.48,1.63,7.18,2019,"EC","FS"
"310",4,4,"🇩🇪","Hase / Seegert",58.92,61.07,118.99,0.82,7.61,2022,"NEBTRO","FS"
"311",5,5,"🇩🇪","Hase / Seegert",56.65,62.24,118.89,0.8,7.76,2022,"GPCAN","FS"
"312",6,6,"🇩🇪","Hase / Seegert",57.19,62.23,118.42,0.41,7.78,2020,"GPRUS","FS"
"313",7,7,"🇩🇪","Hase / Seegert",60.46,57.36,117.82,1.37,7.19,2019,"CHACUP","FS"
"314",8,8,"🇩🇪","Hase / Seegert",58.83,58.96,116.79,0.82,7.36,2020,"GLDSPN","FS"
"315",9,9,"🇩🇪","Hase / Seegert",57.41,59.55,115.96,0.44,7.43,2020,"EC","FS"
"316",10,10,"🇩🇪","Hase / Seegert",55.59,58.72,114.31,0.12,7.32,2020,"NEBTRO","FS"
"317",11,11,"🇩🇪","Hase / Seegert",53.19,56.57,109.76,0.07,7.03,2019,"WC","FS"
"318",12,12,"🇩🇪","Hase / Seegert",54.41,54.8,109.21,0.1,6.84,2019,"GLDSPN","FS"
"319",13,13,"🇩🇪","Hase / Seegert",50.37,57.89,107.26,0.13,7.21,2022,"GPJPN","FS"
"320",14,14,"🇩🇪","Hase / Seegert",49.18,58.36,106.54,0.66,7.28,2022,"EC","FS"
"321",15,15,"🇩🇪","Hase / Seegert",47.2,57.76,103.96,0.21,7.17,2020,"GPFRA","FS"
"322",16,16,"🇩🇪","Hase / Seegert",48.94,54.4,103.34,-0.18,6.8,2019,"NEBTRO","FS"
"323",17,17,"🇩🇪","Hase / Seegert",50.81,52.35,102.16,-0.9,6.55,2019,"GPFRA","FS"
"324",18,18,"🇩🇪","Hase / Seegert",48.1,54.96,102.06,-1.11,6.86,2019,"GPUSA","FS"
"325",19,19,"🇩🇪","Hase / Seegert",36.89,55.6,91.49,-0.14,6.99,2021,"NRWTRO","FS"
"326",20,20,"🇩🇪","Hase / Seegert",36.67,51.65,87.32,-0.31,6.46,2022,"OLY","FS"
"327",21,21,"🇩🇪","Hase / Seegert",39.33,31.1,70.43,2.32,7.78,2020,"EC","SP"
"328",22,22,"🇩🇪","Hase / Seegert",38.26,30.04,68.3,2.11,7.42,2020,"GLDSPN","SP"
"329",23,23,"🇩🇪","Hase / Seegert",37.75,30.24,67.99,2.07,7.56,2020,"NEBTRO","SP"
"330",24,24,"🇩🇪","Hase / Seegert",36.45,31.48,67.93,2.19,7.89,2022,"GPCAN","SP"
"331",25,25,"🇩🇪","Hase / Seegert",36.74,31,67.74,1.86,7.74,2020,"GPRUS","SP"
"332",26,26,"🇩🇪","Hase / Seegert",38,29.56,67.56,2.34,7.3,2019,"CHACUP","SP"
"333",27,27,"🇩🇪","Hase / Seegert",34.97,31.32,66.29,1.65,7.82,2022,"WC","SP"
"334",28,28,"🇩🇪","Hase / Seegert",35.96,30.3,66.26,2,7.62,2022,"NEBTRO","SP"
"335",29,29,"🇩🇪","Hase / Seegert",33.75,31.44,65.19,2.02,7.86,2022,"FINTRO","SP"
"336",30,30,"🇩🇪","Hase / Seegert",34.86,29.6,64.46,1.78,7.2,2021,"NRWTRO","SP"
"337",31,31,"🇩🇪","Hase / Seegert",34.77,29.51,64.28,1.52,7.35,2019,"WC","SP"
"338",32,32,"🇩🇪","Hase / Seegert",34.37,29.6,63.97,1.91,7.36,2021,"NEBTRO","SP"
"339",33,33,"🇩🇪","Hase / Seegert",34.33,28.64,62.97,1.52,7.14,2019,"GLDSPN","SP"
"340",34,34,"🇩🇪","Hase / Seegert",32.45,30.92,62.37,0.97,7.77,2022,"OLY","SP"
"341",35,35,"🇩🇪","Hase / Seegert",32.64,30.57,62.21,0.87,7.64,2022,"EC","SP"
"342",36,36,"🇩🇪","Hase / Seegert",33.25,28.83,60.08,1.17,7.12,2019,"EC","SP"
"343",37,37,"🇩🇪","Hase / Seegert",31.92,28.12,60.04,1.24,7,2019,"GPUSA","SP"
"344",38,38,"🇩🇪","Hase / Seegert",31.59,29.54,59.13,-0.06,7.42,2020,"GPFRA","SP"
"345",39,39,"🇩🇪","Hase / Seegert",30.63,27.64,58.27,1.02,6.85,2019,"NEBTRO","SP"
"346",40,40,"🇩🇪","Hase / Seegert",25.17,29.46,54.63,0.58,7.37,2022,"GPJPN","SP"
"347",41,41,"🇩🇪","Hase / Seegert",26.95,26.66,52.61,-0.83,6.69,2019,"GPFRA","SP"
"348",1,1,"🇺🇸","Cain / Leduc",66.19,66.85,132.04,1.54,8.36,2022,"GPJPN","FS"
"349",2,2,"🇺🇸","Cain / Leduc",63.12,67.54,129.66,1.74,8.43,2020,"GPFRA","FS"
"350",3,3,"🇺🇸","Cain / Leduc",64.15,67.2,129.35,1.38,8.44,2020,"USCLA","FS"
"351",4,4,"🇺🇸","Cain / Leduc",62.98,66.35,129.33,1.8,8.29,2019,"4CC","FS"
"352",5,5,"🇺🇸","Cain / Leduc",63.68,65.92,128.6,1.22,8.24,2020,"GLDSPN","FS"
"353",6,6,"🇺🇸","Cain / Leduc",62.28,65.94,128.22,1.22,8.24,2022,"GPCAN","FS"
"354",7,7,"🇺🇸","Cain / Leduc",62.96,65.06,128.02,1.14,8.13,2022,"FINTRO","FS"
"355",8,8,"🇺🇸","Cain / Leduc",63.26,64.62,126.88,1.19,8.03,2019,"WC","FS"
"356",9,9,"🇺🇸","Cain / Leduc",61.5,64.74,125.24,1.47,8.1,2019,"WTT","FS"
"357",10,10,"🇺🇸","Cain / Leduc",59.74,66.18,123.92,0.45,8.27,2022,"OLY","FS"
"358",11,11,"🇺🇸","Cain / Leduc",56.61,63.76,120.37,1.12,7.93,2021,"WC","FS"
"359",12,12,"🇺🇸","Cain / Leduc",55.58,61.76,117.34,0.6,7.73,2019,"GPUSA","FS"
"360",13,13,"🇺🇸","Cain / Leduc",55.96,59.92,115.88,0.91,7.48,2019,"NEPMEM","FS"
"361",14,14,"🇺🇸","Cain / Leduc",57.39,56.56,113.95,0.43,7.06,2019,"USCLA","FS"
"362",15,15,"🇺🇸","Cain / Leduc",54.34,57.16,111.5,0.47,7.13,2019,"GPRUS","FS"
"363",16,16,"🇺🇸","Cain / Leduc",53.38,59.68,111.06,-0.19,7.42,2022,"ATMCLA","FS"
"364",17,17,"🇺🇸","Cain / Leduc",50.44,59.9,109.34,0.27,7.51,2020,"GPUSA","FS"
"365",18,18,"🇺🇸","Cain / Leduc",48.25,60.08,105.33,-0.36,7.54,2019,"GLDSPN","FS"
"366",19,19,"🇺🇸","Cain / Leduc",42.35,33.88,76.23,2.78,8.46,2020,"USCLA","SP"
"367",20,20,"🇺🇸","Cain / Leduc",40.87,34.98,75.85,2.43,8.72,2022,"WC","SP"
"368",21,21,"🇺🇸","Cain / Leduc",39.91,34.22,74.13,2.08,8.57,2022,"OLY","SP"
"369",22,22,"🇺🇸","Cain / Leduc",39.47,31.36,70.83,2.41,7.82,2020,"GLDSPN","SP"
"370",23,23,"🇺🇸","Cain / Leduc",37.95,32.8,70.75,2,8.2,2022,"GPJPN","SP"
"371",24,24,"🇺🇸","Cain / Leduc",37,32.2,68.2,1.56,8.06,2020,"GPUSA","SP"
"372",25,25,"🇺🇸","Cain / Leduc",34.89,32.6,67.49,1.6,8.15,2019,"4CC","SP"
"373",26,26,"🇺🇸","Cain / Leduc",35.81,32.12,66.93,1.12,8,2019,"WC","SP"
"374",27,27,"🇺🇸","Cain / Leduc",35.02,31.89,66.91,1.28,7.94,2019,"WTT","SP"
"375",28,28,"🇺🇸","Cain / Leduc",33.06,34.06,66.12,1.54,8.53,2020,"GPFRA","SP"
"376",29,29,"🇺🇸","Cain / Leduc",35.6,30.08,65.68,1.29,7.49,2019,"NEPMEM","SP"
"377",30,30,"🇺🇸","Cain / Leduc",33.59,31.39,64.98,1.53,7.85,2022,"FINTRO","SP"
"378",31,31,"🇺🇸","Cain / Leduc",34.37,31.57,64.94,1.05,7.88,2021,"WC","SP"
"379",32,32,"🇺🇸","Cain / Leduc",33.94,30.4,64.34,1,7.61,2019,"GLDSPN","SP"
"380",33,33,"🇺🇸","Cain / Leduc",30.88,31.8,61.68,1.16,7.92,2022,"GPCAN","SP"
"381",34,34,"🇺🇸","Cain / Leduc",31.14,29.44,59.58,0.24,7.32,2022,"ATMCLA","SP"
"382",35,35,"🇺🇸","Cain / Leduc",31.38,28.72,59.1,0.69,7.15,2019,"USCLA","SP"
"383",36,36,"🇺🇸","Cain / Leduc",30.11,28.68,58.79,1.5,7.16,2019,"GPRUS","SP"
"384",37,37,"🇺🇸","Cain / Leduc",28.92,29.8,57.72,-0.69,7.46,2019,"GPUSA","SP"
"385",1,1,"🇦🇹","Ziegler / Kiefer",63.67,60.29,123.96,1.23,7.55,2020,"GPFRA","FS"
"386",2,2,"🇦🇹","Ziegler / Kiefer",63.93,59.33,123.26,1.72,7.37,2019,"GPRUS","FS"
"387",3,3,"🇦🇹","Ziegler / Kiefer",63.06,58.72,121.78,1.37,7.34,2019,"CHACUP","FS"
"388",4,4,"🇦🇹","Ziegler / Kiefer",59.93,60.25,120.18,0.84,7.52,2020,"GPRUS","FS"
"389",5,5,"🇦🇹","Ziegler / Kiefer",59.41,60.32,119.73,0.69,7.51,2020,"CHACUP","FS"
"390",6,6,"🇦🇹","Ziegler / Kiefer",59.44,60.08,118.52,1.38,7.39,2019,"TALTRO","FS"
"391",7,7,"🇦🇹","Ziegler / Kiefer",57.39,60.9,118.29,1.07,7.59,2021,"WC","FS"
"392",8,8,"🇦🇹","Ziegler / Kiefer",55.69,59.32,115.01,0.32,7.39,2019,"WC","FS"
"393",9,9,"🇦🇹","Ziegler / Kiefer",57.95,57.46,114.41,1.7,7.15,2019,"ICESTR","FS"
"394",10,10,"🇦🇹","Ziegler / Kiefer",56.34,58.49,113.83,1.23,7.24,2019,"FINTRO","FS"
"395",11,11,"🇦🇹","Ziegler / Kiefer",56.94,58.41,113.35,0.06,7.31,2020,"FINTRO","FS"
"396",12,12,"🇦🇹","Ziegler / Kiefer",53.83,58.29,112.12,1.34,7.27,2019,"GPFIN","FS"
"397",13,13,"🇦🇹","Ziegler / Kiefer",52.92,58.59,109.51,-0.1,7.37,2020,"EC","FS"
"398",14,14,"🇦🇹","Ziegler / Kiefer",51.9,55.99,105.89,-0.11,6.97,2022,"WC","FS"
"399",15,15,"🇦🇹","Ziegler / Kiefer",48.19,57.08,105.27,-0.08,7.13,2022,"GPRUS","FS"
"400",16,16,"🇦🇹","Ziegler / Kiefer",49.56,55.44,104,0.01,6.84,2020,"NEBTRO","FS"
"401",17,17,"🇦🇹","Ziegler / Kiefer",37.48,30.42,67.9,1.97,7.59,2020,"EC","SP"
"402",18,18,"🇦🇹","Ziegler / Kiefer",37.43,29.64,67.07,1.83,7.42,2020,"CHACUP","SP"
"403",19,19,"🇦🇹","Ziegler / Kiefer",36.72,29.36,66.08,1.98,7.27,2019,"TALTRO","SP"
"404",20,20,"🇦🇹","Ziegler / Kiefer",35.7,28.46,64.16,1.52,7.08,2019,"ICESTR","SP"
"405",21,21,"🇦🇹","Ziegler / Kiefer",34.21,29.8,64.01,1.8,7.51,2021,"WC","SP"
"406",22,22,"🇦🇹","Ziegler / Kiefer",34.58,29.17,63.75,1.6,7.28,2019,"GPRUS","SP"
"407",23,23,"🇦🇹","Ziegler / Kiefer",33.62,30.03,63.65,2.07,7.51,2019,"WC","SP"
"408",24,24,"🇦🇹","Ziegler / Kiefer",33.84,29,62.84,1.02,7.05,2019,"CHACUP","SP"
"409",25,25,"🇦🇹","Ziegler / Kiefer",33.57,29.12,62.69,0.83,7.23,2019,"GPFIN","SP"
"410",26,26,"🇦🇹","Ziegler / Kiefer",33.75,29.51,62.26,1.85,7.4,2019,"FINTRO","SP"
"411",27,27,"🇦🇹","Ziegler / Kiefer",32.42,29.42,61.84,0.15,7.36,2020,"GPRUS","SP"
"412",28,28,"🇦🇹","Ziegler / Kiefer",32.28,28.51,60.79,0.93,7.13,2022,"WC","SP"
"413",29,29,"🇦🇹","Ziegler / Kiefer",29.81,30.64,59.45,0.53,7.64,2020,"NEBTRO","SP"
"414",30,30,"🇦🇹","Ziegler / Kiefer",30.33,29.2,58.53,-0.02,7.27,2022,"GPRUS","SP"
"415",31,31,"🇦🇹","Ziegler / Kiefer",29.5,29.2,57.7,0.29,7.34,2019,"EC","SP"
"416",32,32,"🇦🇹","Ziegler / Kiefer",28.96,29.34,57.3,-0.95,7.33,2020,"GPFRA","SP"
"417",33,33,"🇦🇹","Ziegler / Kiefer",28.49,27.6,54.09,-0.44,6.84,2020,"FINTRO","SP"
"418",34,34,"🇦🇹","Ziegler / Kiefer",24.53,27.43,51.96,-0.8,6.84,2022,"OLY","SP"
"419",1,1,"🇨🇦","Walsh / Michaud",58.43,58.4,116.83,1.38,7.29,2021,"WC","FS"
"420",2,2,"🇨🇦","Walsh / Michaud",56.65,59.09,115.74,0.47,7.35,2022,"WC","FS"
"421",3,3,"🇨🇦","Walsh / Michaud",56.43,58.18,114.61,0.77,7.32,2020,"4CC","FS"
"422",4,4,"🇨🇦","Walsh / Michaud",56.89,57.67,114.56,1.41,7.21,2019,"WC","FS"
"423",5,5,"🇨🇦","Walsh / Michaud",54.62,59.66,114.28,0.47,7.47,2022,"4CC","FS"
"424",6,6,"🇨🇦","Walsh / Michaud",58.17,55.77,112.94,1.1,6.98,2019,"GPCAN","FS"
"425",7,7,"🇨🇦","Walsh / Michaud",52.32,58.69,111.01,0.36,7.33,2022,"GPJPN","FS"
"426",8,8,"🇨🇦","Walsh / Michaud",51.92,58.64,109.56,0.14,7.33,2022,"GLDSPN","FS"
"427",9,9,"🇨🇦","Walsh / Michaud",55.26,55.31,108.57,0.12,6.9,2020,"GPCAN","FS"
"428",10,10,"🇨🇦","Walsh / Michaud",52.26,55.94,106.2,-0.36,7.02,2020,"GPRUS","FS"
"429",11,11,"🇨🇦","Walsh / Michaud",50.96,53.73,103.69,0.4,6.71,2020,"FINTRO","FS"
"430",12,12,"🇨🇦","Walsh / Michaud",51.22,52.64,101.86,-0.35,6.59,2019,"NEBTRO","FS"
"431",13,13,"🇨🇦","Walsh / Michaud",44.4,53.74,97.14,-0.49,6.75,2019,"4CC","FS"
"432",14,14,"🇨🇦","Walsh / Michaud",40.43,55.15,93.58,-1.01,6.88,2022,"GPUSA","FS"
"433",15,15,"🇨🇦","Walsh / Michaud",41.83,45.52,84.35,-1.62,5.68,2019,"GPUSA","FS"
"434",16,16,"🇨🇦","Walsh / Michaud",35.33,30.09,65.42,1.32,7.54,2022,"4CC","SP"
"435",17,17,"🇨🇦","Walsh / Michaud",34.08,28.89,62.97,0.82,7.31,2020,"4CC","SP"
"436",18,18,"🇨🇦","Walsh / Michaud",34.31,28.45,62.76,0.96,7.11,2020,"GPRUS","SP"
"437",19,19,"🇨🇦","Walsh / Michaud",33.88,28.03,61.91,1.06,7.06,2019,"4CC","SP"
"438",20,20,"🇨🇦","Walsh / Michaud",30.66,29.62,60.28,0.17,7.4,2022,"WC","SP"
"439",21,21,"🇨🇦","Walsh / Michaud",32.46,27.38,59.84,0.81,6.86,2019,"WC","SP"
"440",22,22,"🇨🇦","Walsh / Michaud",33.47,26.12,59.59,0.81,6.52,2019,"GPCAN","SP"
"441",23,23,"🇨🇦","Walsh / Michaud",31.32,29.09,59.41,1.53,7.32,2021,"WC","SP"
"442",24,24,"🇨🇦","Walsh / Michaud",29.95,29.36,59.31,0.06,7.36,2022,"GLDSPN","SP"
"443",25,25,"🇨🇦","Walsh / Michaud",28.52,28.45,56.97,0.08,7.09,2022,"GPJPN","SP"
"444",26,26,"🇨🇦","Walsh / Michaud",30.07,27.02,56.09,-0.54,6.77,2020,"GPCAN","SP"
"445",27,27,"🇨🇦","Walsh / Michaud",26.69,28.34,54.03,-0.78,7.11,2022,"GPUSA","SP"
"446",28,28,"🇨🇦","Walsh / Michaud",27.69,25.16,51.85,-0.68,6.29,2019,"NEBTRO","SP"
"447",29,29,"🇨🇦","Walsh / Michaud",22.23,26.8,48.03,-1.33,6.59,2020,"FINTRO","SP"
"448",30,30,"🇨🇦","Walsh / Michaud",22.37,24.34,44.71,-2.81,6.09,2019,"GPUSA","SP"
