"","","#","Nat","Skater","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"236",28,28,"🇺🇸","Vincent Zhou",55.56,43.8,99.36,2.33,8.77,2021,"GPUSA","SP"
"237",29,29,"🇺🇸","Vincent Zhou",54.78,42.65,97.43,2.31,8.5,2022,"GPUSA","SP"
"238",30,30,"🇺🇸","Vincent Zhou",54.63,42.72,97.35,2.56,8.56,2022,"NEBTRO","SP"
"239",31,31,"🇺🇸","Vincent Zhou",51.67,44.17,95.84,2.33,8.82,2022,"WC","SP"
"240",32,32,"🇺🇸","Vincent Zhou",51.53,43.29,94.82,2.81,8.64,2020,"NATUSA","SP"
"241",33,33,"🇺🇸","Vincent Zhou",52.49,41.68,94.17,1.9,8.29,2019,"WC","SP"
"242",34,34,"🇺🇸","Vincent Zhou",48.78,40.25,89.03,1.64,8.02,2020,"USCLA","SP"
"243",35,35,"🇺🇸","Vincent Zhou",37.86,39.6,77.46,0.5,7.85,2019,"TALTRO","SP"
"244",36,36,"🇺🇸","Vincent Zhou",39.52,37.86,76.38,0.23,7.57,2019,"GPUSA","SP"
"245",37,37,"🇺🇸","Vincent Zhou",37.94,37.96,75.9,0.84,7.63,2019,"GPJPN","SP"
"246",38,38,"🇺🇸","Vincent Zhou",32.04,40.47,70.51,-0.97,8.06,2021,"WC","SP"
"247",39,39,"🇺🇸","Vincent Zhou",25.02,37.7,61.72,0.73,7.51,2019,"USCLA","SP"
"248",1,1,"🇬🇪","Morisi Kvitelashvili",93.42,86,179.42,2.1,8.64,2022,"WC","FS"
"249",2,2,"🇬🇪","Morisi Kvitelashvili",88.74,88.5,176.24,1.59,8.89,2021,"GPRUS","FS"
"250",3,3,"🇬🇪","Morisi Kvitelashvili",92.21,83.1,175.31,1.99,8.36,2019,"UNIVER","FS"
"251",4,4,"🇬🇪","Morisi Kvitelashvili",87.62,84.34,170.96,1.4,8.43,2022,"GPRUS","FS"
"252",5,5,"🇬🇪","Morisi Kvitelashvili",85.92,84.72,170.64,1.65,8.46,2022,"OLY","FS"
"253",6,6,"🇬🇪","Morisi Kvitelashvili",90.18,77.9,168.08,1.3,7.8,2022,"GLDSPN","FS"
"254",7,7,"🇬🇪","Morisi Kvitelashvili",86.52,78.42,163.94,1.58,7.82,2020,"EC","FS"
"255",8,8,"🇬🇪","Morisi Kvitelashvili",81.8,79.92,161.72,1.81,7.99,2020,"GPRUS","FS"
"256",9,9,"🇬🇪","Morisi Kvitelashvili",85.49,75.78,161.27,1.11,7.58,2022,"GPCAN","FS"
"257",10,10,"🇬🇪","Morisi Kvitelashvili",77.49,84.66,161.15,1.38,8.46,2022,"EC","FS"
"258",11,11,"🇬🇪","Morisi Kvitelashvili",82.86,76.8,159.66,0.75,7.68,2022,"LOMTRO","FS"
"259",12,12,"🇬🇪","Morisi Kvitelashvili",81.2,77.44,158.64,0.42,7.74,2019,"GPRUS","FS"
"260",13,13,"🇬🇪","Morisi Kvitelashvili",82.59,76.48,158.07,0.96,7.67,2019,"WC","FS"
"261",14,14,"🇬🇪","Morisi Kvitelashvili",78.51,79.08,157.59,0.99,7.92,2020,"GPFRA","FS"
"262",15,15,"🇬🇪","Morisi Kvitelashvili",82.43,74.72,157.15,0.51,7.51,2021,"WC","FS"
"263",16,16,"🇬🇪","Morisi Kvitelashvili",76.58,81.4,156.98,0.93,8.1,2020,"TENMEM","FS"
"264",17,17,"🇬🇪","Morisi Kvitelashvili",78.35,77.2,155.55,1.11,7.7,2020,"GLDSPN","FS"
"265",18,18,"🇬🇪","Morisi Kvitelashvili",79.41,75.26,153.67,0.86,7.5,2019,"FINTRO","FS"
"266",19,19,"🇬🇪","Morisi Kvitelashvili",71.51,75.3,146.81,0.89,7.54,2020,"LOMTRO","FS"
"267",20,20,"🇬🇪","Morisi Kvitelashvili",72.33,74.42,146.75,0.44,7.39,2019,"EC","FS"
"268",21,21,"🇬🇪","Morisi Kvitelashvili",72.24,73.9,145.14,0.52,7.38,2019,"NEPMEM","FS"
"269",22,22,"🇬🇪","Morisi Kvitelashvili",65.73,77.34,142.07,0.86,7.73,2019,"BOSCUP","FS"
"270",23,23,"🇬🇪","Morisi Kvitelashvili",65.28,72.26,136.54,0.53,7.21,2019,"GPUSA","FS"
"271",24,24,"🇬🇪","Morisi Kvitelashvili",64.52,71.66,135.18,0.29,7.2,2021,"CHACUP","FS"
"272",25,25,"🇬🇪","Morisi Kvitelashvili",55.91,43.65,99.56,2.59,8.77,2021,"GPRUS","SP"
"273",26,26,"🇬🇪","Morisi Kvitelashvili",55.69,42.29,97.98,2.61,8.44,2022,"OLY","SP"
"274",27,27,"🇬🇪","Morisi Kvitelashvili",53.87,41.5,95.37,2.17,8.29,2022,"GPRUS","SP"
"275",28,28,"🇬🇪","Morisi Kvitelashvili",51.12,41.64,92.76,1.93,8.3,2022,"EC","SP"
"276",29,29,"🇬🇪","Morisi Kvitelashvili",50.82,41.79,92.61,1.6,8.33,2022,"WC","SP"
"277",30,30,"🇬🇪","Morisi Kvitelashvili",50.63,41.74,92.37,1.63,8.35,2022,"OLYT","SP"
"278",31,31,"🇬🇪","Morisi Kvitelashvili",51.48,38.46,89.94,1.58,7.69,2019,"GPRUS","SP"
"279",32,32,"🇬🇪","Morisi Kvitelashvili",49.4,39.6,88,1.19,7.89,2020,"TENMEM","SP"
"280",33,33,"🇬🇪","Morisi Kvitelashvili",45.05,38.72,82.77,0.58,7.76,2020,"EC","SP"
"281",34,34,"🇬🇪","Morisi Kvitelashvili",42.86,39.85,82.71,2.67,7.88,2019,"UNIVER","SP"
"282",35,35,"🇬🇪","Morisi Kvitelashvili",47.1,36.57,82.67,0.74,7.29,2019,"WC","SP"
"283",36,36,"🇬🇪","Morisi Kvitelashvili",43.95,38.15,81.1,0.98,7.62,2020,"GLDSPN","SP"
"284",37,37,"🇬🇪","Morisi Kvitelashvili",41.33,38.46,78.79,0.71,7.69,2020,"GPFRA","SP"
"285",38,38,"🇬🇪","Morisi Kvitelashvili",41.91,37.75,78.66,0.26,7.6,2019,"BOSCUP","SP"
"286",39,39,"🇬🇪","Morisi Kvitelashvili",41.76,35.76,77.52,0.71,7.13,2019,"FINTRO","SP"
"287",40,40,"🇬🇪","Morisi Kvitelashvili",39.32,37.2,76.52,1.36,7.44,2022,"LOMTRO","SP"
"288",41,41,"🇬🇪","Morisi Kvitelashvili",41.94,35.55,76.49,0.27,7.12,2019,"NEPMEM","SP"
"289",42,42,"🇬🇪","Morisi Kvitelashvili",36.83,39.04,75.87,1.65,7.82,2020,"GPRUS","SP"
"290",43,43,"🇬🇪","Morisi Kvitelashvili",37.63,37.03,74.66,-0.96,7.37,2021,"WC","SP"
"291",44,44,"🇬🇪","Morisi Kvitelashvili",37.2,36.95,74.15,1.1,7.42,2020,"LOMTRO","SP"
"292",45,45,"🇬🇪","Morisi Kvitelashvili",35.53,38.51,73.04,0.88,7.69,2019,"EC","SP"
"293",46,46,"🇬🇪","Morisi Kvitelashvili",33.99,37.61,71.6,0.46,7.53,2022,"GPCAN","SP"
"294",47,47,"🇬🇪","Morisi Kvitelashvili",35.28,36.66,69.94,-0.37,7.32,2021,"CHACUP","SP"
"295",48,48,"🇬🇪","Morisi Kvitelashvili",34.3,36.28,68.58,-0.14,7.24,2019,"GPUSA","SP"
"296",49,49,"🇬🇪","Morisi Kvitelashvili",26.68,35.85,58.53,-1.23,7.15,2022,"GLDSPN","SP"
"297",1,1,"🇷🇺","Mikhail Kolyada",96.81,96.86,193.67,3.06,9.68,2021,"NATRUS","FS"
"298",2,2,"🇷🇺","Mikhail Kolyada",93.86,95.58,189.44,3.1,9.57,2022,"NATRUS","FS"
"299",3,3,"🇷🇺","Mikhail Kolyada",93.55,95,188.55,3.23,9.51,2021,"GPRUS","FS"
"300",4,4,"🇷🇺","Mikhail Kolyada",95.02,91.16,185.18,3.02,9.09,2021,"CHACUP","FS"
"301",5,5,"🇷🇺","Mikhail Kolyada",87.72,94,181.72,1.98,9.37,2021,"RUSCUP3","FS"
"302",6,6,"🇷🇺","Mikhail Kolyada",93.47,87.78,181.25,1.58,8.77,2022,"GPITA","FS"
"303",7,7,"🇷🇺","Mikhail Kolyada",90.42,90.3,180.72,2.44,9.01,2021,"WTT","FS"
"304",8,8,"🇷🇺","Mikhail Kolyada",92.52,88.64,180.16,1.68,8.82,2022,"GPRUS","FS"
"305",9,9,"🇷🇺","Mikhail Kolyada",88.82,90.7,178.52,1.64,9.06,2021,"WC","FS"
"306",10,10,"🇷🇺","Mikhail Kolyada",88.87,89.34,178.21,2.5,8.92,2019,"WC","FS"
"307",11,11,"🇷🇺","Mikhail Kolyada",87.05,91.5,177.55,2.57,9.11,2019,"NEPMEM","FS"
"308",12,12,"🇷🇺","Mikhail Kolyada",87.39,86.84,174.23,2.15,8.69,2022,"FINTRO","FS"
"309",13,13,"🇷🇺","Mikhail Kolyada",81.14,93.56,173.7,2.28,9.33,2019,"NATRUS","FS"
"310",14,14,"🇷🇺","Mikhail Kolyada",75.1,90.28,165.38,2.54,9.02,2019,"FINTRO","FS"
"311",15,15,"🇷🇺","Mikhail Kolyada",75.03,84,157.03,1.2,8.41,2019,"GPFIN","FS"
"312",16,16,"🇷🇺","Mikhail Kolyada",70.82,85.5,156.32,1.89,8.58,2019,"GPRUS","FS"
"313",17,17,"🇷🇺","Mikhail Kolyada",69.9,87.2,156.1,2.27,8.74,2019,"GLDSPN","FS"
"314",18,18,"🇷🇺","Mikhail Kolyada",58.08,86.3,140.38,0.42,8.64,2019,"EC","FS"
"315",19,19,"🇷🇺","Mikhail Kolyada",60.46,85.66,140.12,0.43,8.54,2019,"TALCUP","FS"
"316",20,20,"🇷🇺","Mikhail Kolyada",54.62,47.86,102.48,3.59,9.57,2021,"NATRUS","SP"
"317",21,21,"🇷🇺","Mikhail Kolyada",53.82,47.9,101.72,3.33,9.58,2021,"RUSCUP3","SP"
"318",22,22,"🇷🇺","Mikhail Kolyada",54.05,46.44,100.49,3.55,9.26,2019,"EC","SP"
"319",23,23,"🇷🇺","Mikhail Kolyada",52.09,44.95,97.04,3.63,8.94,2019,"GLDSPN","SP"
"320",24,24,"🇷🇺","Mikhail Kolyada",52.52,44.3,96.82,3.21,8.6,2019,"NEPMEM","SP"
"321",25,25,"🇷🇺","Mikhail Kolyada",48.44,46.26,94.7,2.37,9.23,2019,"NATRUS","SP"
"322",26,26,"🇷🇺","Mikhail Kolyada",47.08,47.18,94.26,3.54,9.43,2022,"NATRUS","SP"
"323",27,27,"🇷🇺","Mikhail Kolyada",48.96,44.67,93.63,3.27,8.91,2019,"TALCUP","SP"
"324",28,28,"🇷🇺","Mikhail Kolyada",49.38,44.14,93.52,2.54,8.72,2021,"WC","SP"
"325",29,29,"🇷🇺","Mikhail Kolyada",49.77,43.65,93.42,2.52,8.69,2021,"WTT","SP"
"326",30,30,"🇷🇺","Mikhail Kolyada",46.64,46.7,93.34,2.15,9.34,2021,"GPRUS","SP"
"327",31,31,"🇷🇺","Mikhail Kolyada",49.85,43.45,92.3,2.03,8.65,2022,"GPITA","SP"
"328",32,32,"🇷🇺","Mikhail Kolyada",43.45,42.75,85.2,1.85,8.51,2019,"FINTRO","SP"
"329",33,33,"🇷🇺","Mikhail Kolyada",42.23,42.76,84.99,3.2,8.54,2021,"CHACUP","SP"
"330",34,34,"🇷🇺","Mikhail Kolyada",41.2,44.28,84.48,1.24,8.87,2022,"GPRUS","SP"
"331",35,35,"🇷🇺","Mikhail Kolyada",41.15,43.08,84.23,2.33,8.59,2019,"WC","SP"
"332",36,36,"🇷🇺","Mikhail Kolyada",40.04,43.71,82.75,2.43,8.72,2022,"FINTRO","SP"
"333",37,37,"🇷🇺","Mikhail Kolyada",38.51,43.25,81.76,2.85,8.65,2019,"GPFIN","SP"
"334",38,38,"🇷🇺","Mikhail Kolyada",27.74,41.36,69.1,1.65,8.28,2019,"GPRUS","SP"
"335",1,1,"🇨🇦","Keegan Messing",91.09,88.34,179.43,2.92,8.83,2019,"4CC","FS"
"336",2,2,"🇨🇦","Keegan Messing",89.84,88.2,178.04,3.21,8.83,2019,"WTT","FS"
"337",3,3,"🇨🇦","Keegan Messing",87.15,89.6,176.75,1.93,8.98,2021,"WC","FS"
"338",4,4,"🇨🇦","Keegan Messing",87.72,86.3,174.02,1.88,8.63,2021,"GPUSA","FS"
"339",5,5,"🇨🇦","Keegan Messing",83.63,90.02,173.65,1.86,8.99,2022,"NATCAN","FS"
"340",6,6,"🇨🇦","Keegan Messing",84.13,88.24,172.37,2.43,8.8,2022,"OLY","FS"
"341",7,7,"🇨🇦","Keegan Messing",83.9,87.22,170.12,2.5,8.73,2019,"GPCAN","FS"
"342",8,8,"🇨🇦","Keegan Messing",82.75,85.28,168.03,1.6,8.52,2022,"GPFRA","FS"
"343",9,9,"🇨🇦","Keegan Messing",82.23,84.3,166.53,2.27,8.41,2019,"NEBTRO","FS"
"344",10,10,"🇨🇦","Keegan Messing",84.25,83.2,166.45,1.46,8.25,2020,"ATMCLA","FS"
"345",11,11,"🇨🇦","Keegan Messing",80.91,84.9,164.81,2.33,8.49,2022,"GLDSPN","FS"
"346",12,12,"🇨🇦","Keegan Messing",77.56,84,160.56,1.54,8.38,2020,"GPCHN","FS"
"347",13,13,"🇨🇦","Keegan Messing",76.82,84.44,160.26,1.4,8.45,2019,"NATCAN","FS"
"348",14,14,"🇨🇦","Keegan Messing",74.93,83.56,156.49,1.48,8.36,2019,"GPF","FS"
"349",15,15,"🇨🇦","Keegan Messing",71.74,84.52,155.26,2.07,8.48,2019,"WC","FS"
"350",16,16,"🇨🇦","Keegan Messing",67.43,84.76,150.19,1.6,8.46,2022,"FINTRO","FS"
"351",17,17,"🇨🇦","Keegan Messing",66.9,84,149.9,1.35,8.4,2020,"4CC","FS"
"352",18,18,"🇨🇦","Keegan Messing",65.82,85.36,149.18,1.11,8.52,2020,"NATCAN","FS"
"353",19,19,"🇨🇦","Keegan Messing",68.7,80.22,146.92,0.76,8,2019,"GPRUS","FS"
"354",20,20,"🇨🇦","Keegan Messing",65.28,81.78,145.06,0.44,8.18,2022,"GPCAN","FS"
"355",21,21,"🇨🇦","Keegan Messing",65.65,82.2,143.85,0.41,8.23,2022,"WC","FS"
"356",22,22,"🇨🇦","Keegan Messing",61.64,81.36,143,1.6,8.12,2020,"GPUSA","FS"
"357",23,23,"🇨🇦","Keegan Messing",51.66,44.68,96.34,3.13,8.92,2020,"GPUSA","SP"
"358",24,24,"🇨🇦","Keegan Messing",52.81,42.24,95.05,3.32,8.46,2019,"GPCAN","SP"
"359",25,25,"🇨🇦","Keegan Messing",50.82,43.21,94.03,2.76,8.59,2020,"4CC","SP"
"360",26,26,"🇨🇦","Keegan Messing",49.8,43.71,93.51,2.61,8.68,2021,"WC","SP"
"361",27,27,"🇨🇦","Keegan Messing",49.59,43.69,93.28,2.86,8.73,2022,"GPCAN","SP"
"362",28,28,"🇨🇦","Keegan Messing",49.3,43.94,93.24,2.9,8.78,2022,"OLY","SP"
"363",29,29,"🇨🇦","Keegan Messing",48.51,44.1,92.61,2.24,8.86,2020,"NATCAN","SP"
"364",30,30,"🇨🇦","Keegan Messing",48.8,43.6,92.4,2.66,8.73,2021,"GPUSA","SP"
"365",31,31,"🇨🇦","Keegan Messing",48.73,43.66,92.39,3.3,8.75,2022,"FINTRO","SP"
"366",32,32,"🇨🇦","Keegan Messing",47.07,44.11,91.18,2.88,8.84,2022,"WC","SP"
"367",33,33,"🇨🇦","Keegan Messing",49.03,41.6,90.63,2.6,8.3,2019,"NEBTRO","SP"
"368",34,34,"🇨🇦","Keegan Messing",48.16,42.1,90.26,2.73,8.5,2022,"GLDSPN","SP"
"369",35,35,"🇨🇦","Keegan Messing",46.22,43.35,89.57,2.35,8.68,2020,"ATMCLA","SP"
"370",36,36,"🇨🇦","Keegan Messing",45.75,42.43,88.18,2,8.46,2019,"4CC","SP"
"371",37,37,"🇨🇦","Keegan Messing",45.04,43.14,87.18,2.22,8.62,2019,"NATCAN","SP"
"372",38,38,"🇨🇦","Keegan Messing",42.11,42.92,85.03,1.54,8.59,2022,"GPFRA","SP"
"373",39,39,"🇨🇦","Keegan Messing",40.12,44.26,84.38,2.69,8.84,2022,"NATCAN","SP"
"374",40,40,"🇨🇦","Keegan Messing",40.95,42.43,82.38,2.08,8.48,2019,"WC","SP"
"375",41,41,"🇨🇦","Keegan Messing",38.11,41.64,79.75,1.41,8.33,2019,"WTT","SP"
"376",42,42,"🇨🇦","Keegan Messing",37.56,42,79.56,1.69,8.4,2019,"GPF","SP"
"377",43,43,"🇨🇦","Keegan Messing",36.34,41.46,76.8,1.42,8.27,2020,"GPCHN","SP"
"378",44,44,"🇨🇦","Keegan Messing",33.87,40.96,73.83,0.68,8.21,2019,"GPRUS","SP"
"379",1,1,"🇫🇷","Adam Siao Him Fa",90.15,86,175.15,2.1,8.6,2022,"WC","FS"
"380",2,2,"🇫🇷","Adam Siao Him Fa",80.81,84.84,165.65,1.67,8.4,2021,"NATFRA","FS"
"381",3,3,"🇫🇷","Adam Siao Him Fa",84.52,79.16,163.68,1.07,7.95,2020,"NATFRA","FS"
"382",4,4,"🇫🇷","Adam Siao Him Fa",81.69,82.72,163.41,0.97,8.27,2022,"OLY","FS"
"383",5,5,"🇫🇷","Adam Siao Him Fa",78.39,84.98,162.37,1.29,8.45,2022,"NATFRA","FS"
"384",6,6,"🇫🇷","Adam Siao Him Fa",83.94,78.68,161.62,1.29,7.85,2021,"CHACUP","FS"
"385",7,7,"🇫🇷","Adam Siao Him Fa",77.76,81.06,158.82,1.46,8.12,2022,"GPFRA","FS"
"386",8,8,"🇫🇷","Adam Siao Him Fa",79.55,77.3,156.85,1.16,7.69,2022,"LOMTRO","FS"
"387",9,9,"🇫🇷","Adam Siao Him Fa",83.8,70.88,154.68,1.28,7.08,2020,"EC","FS"
"388",10,10,"🇫🇷","Adam Siao Him Fa",77.19,79.36,154.55,0.35,7.94,2022,"NEBTRO","FS"
"389",11,11,"🇫🇷","Adam Siao Him Fa",78.04,74.6,152.64,0.87,7.47,2021,"WTT","FS"
"390",12,12,"🇫🇷","Adam Siao Him Fa",78.31,73.82,152.13,1.78,7.38,2019,"NATFRA","FS"
"391",13,13,"🇫🇷","Adam Siao Him Fa",74.4,75.52,149.92,0.91,7.55,2022,"GPUSA","FS"
"392",14,14,"🇫🇷","Adam Siao Him Fa",79.49,70.6,149.09,1.11,7.09,2020,"ICESTR","FS"
"393",15,15,"🇫🇷","Adam Siao Him Fa",76.82,69.1,144.92,0.35,6.82,2020,"GLDSPN","FS"
"394",16,16,"🇫🇷","Adam Siao Him Fa",73.19,69.98,142.17,0.54,6.91,2019,"WJC","FS"
"395",17,17,"🇫🇷","Adam Siao Him Fa",71.16,70.2,141.36,-0.06,7.03,2019,"EC","FS"
"396",18,18,"🇫🇷","Adam Siao Him Fa",76.82,64.74,140.56,0.99,6.48,2019,"JGPF","FS"
"397",19,19,"🇫🇷","Adam Siao Him Fa",70.98,69.22,140.2,1.24,6.92,2020,"JGPITA","FS"
"398",20,20,"🇫🇷","Adam Siao Him Fa",69.2,70.08,139.28,0.92,7.01,2020,"WJC","FS"
"399",21,21,"🇫🇷","Adam Siao Him Fa",72.05,64.28,135.33,0.43,6.44,2019,"JGPARM","FS"
"400",22,22,"🇫🇷","Adam Siao Him Fa",70.07,64.22,133.29,0.06,6.42,2019,"JGPCAN","FS"
"401",23,23,"🇫🇷","Adam Siao Him Fa",67.51,66.6,132.11,-0.43,6.6,2019,"WTT","FS"
"402",24,24,"🇫🇷","Adam Siao Him Fa",65.85,66.14,131.99,0.12,6.65,2020,"JGPCRO","FS"
"403",25,25,"🇫🇷","Adam Siao Him Fa",68.86,61.8,128.66,0.28,6.11,2019,"ALPTRO","FS"
"404",26,26,"🇫🇷","Adam Siao Him Fa",53.06,42.25,95.31,3.1,8.49,2022,"NATFRA","SP"
"405",27,27,"🇫🇷","Adam Siao Him Fa",48.84,42.13,90.97,2.26,8.42,2022,"WC","SP"
"406",28,28,"🇫🇷","Adam Siao Him Fa",48.81,40.42,89.23,1.78,8.07,2022,"NEBTRO","SP"
"407",29,29,"🇫🇷","Adam Siao Him Fa",49.04,38.58,87.62,1.69,7.73,2020,"NATFRA","SP"
"408",30,30,"🇫🇷","Adam Siao Him Fa",47.28,40.46,86.74,1.29,8.1,2022,"OLY","SP"
"409",31,31,"🇫🇷","Adam Siao Him Fa",45.37,40.1,84.47,0.87,8.02,2022,"GPFRA","SP"
"410",32,32,"🇫🇷","Adam Siao Him Fa",42.54,38,80.54,0.73,7.53,2022,"LOMTRO","SP"
"411",33,33,"🇫🇷","Adam Siao Him Fa",42.24,39.25,79.49,0.74,7.74,2021,"CHACUP","SP"
"412",34,34,"🇫🇷","Adam Siao Him Fa",41.17,39.33,78.5,0.5,7.82,2021,"NATFRA","SP"
"413",35,35,"🇫🇷","Adam Siao Him Fa",40.48,37.8,78.28,0.52,7.54,2021,"WTT","SP"
"414",36,36,"🇫🇷","Adam Siao Him Fa",42.87,34.87,77.74,2.05,7.05,2019,"WJC","SP"
"415",37,37,"🇫🇷","Adam Siao Him Fa",42.89,33.81,76.7,1.77,6.83,2019,"EC","SP"
"416",38,38,"🇫🇷","Adam Siao Him Fa",40,34.61,74.61,1.67,6.95,2020,"WJC","SP"
"417",39,39,"🇫🇷","Adam Siao Him Fa",38.23,36,74.23,1.21,7.16,2019,"NATFRA","SP"
"418",40,40,"🇫🇷","Adam Siao Him Fa",37.85,34.71,72.56,0.42,6.89,2019,"WTT","SP"
"419",41,41,"🇫🇷","Adam Siao Him Fa",38.33,32.17,70.5,1.18,6.44,2019,"JGPARM","SP"
"420",42,42,"🇫🇷","Adam Siao Him Fa",37.56,32.5,69.06,0.18,6.51,2020,"GLDSPN","SP"
"421",43,43,"🇫🇷","Adam Siao Him Fa",30.58,38.02,67.6,-0.11,7.61,2022,"GPUSA","SP"
"422",44,44,"🇫🇷","Adam Siao Him Fa",33.98,32.5,66.48,-0.33,6.48,2019,"JGPF","SP"
"423",45,44,"🇫🇷","Adam Siao Him Fa",33.88,32.6,66.48,1.29,6.56,2020,"ICESTR","SP"
"424",46,46,"🇫🇷","Adam Siao Him Fa",34.3,31.9,66.2,0.68,6.41,2020,"JGPITA","SP"
"425",47,47,"🇫🇷","Adam Siao Him Fa",35.75,30.1,65.85,0.78,6.04,2019,"JGPCAN","SP"
"426",48,48,"🇫🇷","Adam Siao Him Fa",30.51,34.7,65.21,0.54,6.95,2020,"EC","SP"
"427",49,49,"🇫🇷","Adam Siao Him Fa",28.71,31.46,60.17,0.38,6.34,2020,"JGPCRO","SP"
"428",50,50,"🇫🇷","Adam Siao Him Fa",30.99,28.25,59.24,0.34,5.65,2019,"ALPTRO","SP"
"429",1,1,"🇷🇺","Evgeni Semenenko",94.81,83.56,178.37,1.65,8.35,2022,"OLY","FS"
"430",2,2,"🇷🇺","Evgeni Semenenko",93.66,83.7,177.36,2.11,8.34,2021,"GPRUS","FS"
"431",3,3,"🇷🇺","Evgeni Semenenko",86.39,90.86,176.25,2.01,9.11,2022,"NATRUS","FS"
"432",4,4,"🇷🇺","Evgeni Semenenko",93.71,80,173.71,2.36,8.01,2020,"RUSCUPF","FS"
"433",5,5,"🇷🇺","Evgeni Semenenko",97,75.6,172.6,2.16,7.61,2022,"FINTRO","FS"
"434",6,6,"🇷🇺","Evgeni Semenenko",90.51,81.08,171.59,1.73,8.07,2021,"WC","FS"
"435",7,7,"🇷🇺","Evgeni Semenenko",85.38,85.8,170.18,1.75,8.57,2021,"RUSCUPF","FS"
"436",8,8,"🇷🇺","Evgeni Semenenko",84.08,85.3,168.38,1.52,8.51,2021,"RUSCUP4","FS"
"437",9,9,"🇷🇺","Evgeni Semenenko",90,78.3,168.3,1.22,7.82,2022,"GPCAN","FS"
"438",10,10,"🇷🇺","Evgeni Semenenko",89.73,76.6,166.33,1.76,7.66,2021,"WTT","FS"
"439",11,11,"🇷🇺","Evgeni Semenenko",85.72,81.94,165.66,0.77,8.16,2022,"GPRUS","FS"
"440",12,12,"🇷🇺","Evgeni Semenenko",80.12,84.1,163.22,1.31,8.41,2021,"RUSCUP2","FS"
"441",13,13,"🇷🇺","Evgeni Semenenko",75.52,85.44,160.96,1.31,8.52,2022,"EC","FS"
"442",14,14,"🇷🇺","Evgeni Semenenko",77.16,83.08,160.24,1.92,8.32,2021,"NATRUS","FS"
"443",15,15,"🇷🇺","Evgeni Semenenko",81.89,78,159.89,1.99,7.8,2020,"RUSCUP4","FS"
"444",16,16,"🇷🇺","Evgeni Semenenko",81.26,76.56,156.82,1.41,7.66,2020,"NATRUS","FS"
"445",17,17,"🇷🇺","Evgeni Semenenko",70.67,81.94,148.61,-0.13,8.16,2021,"NATRUS","FS"
"446",18,18,"🇷🇺","Evgeni Semenenko",77.86,69.68,147.54,1.98,6.91,2020,"TALCUP","FS"
"447",19,19,"🇷🇺","Evgeni Semenenko",71.57,71.2,142.77,1.79,7.12,2019,"RUSCUP5","FS"
"448",20,20,"🇷🇺","Evgeni Semenenko",63.74,74.1,136.84,0.32,7.43,2020,"RUSCUP2","FS"
"449",21,21,"🇷🇺","Evgeni Semenenko",56.33,42.71,99.04,2.79,8.52,2022,"EC","SP"
"450",22,22,"🇷🇺","Evgeni Semenenko",53.97,44.06,98.03,2.39,8.84,2022,"NATRUS","SP"
"451",23,23,"🇷🇺","Evgeni Semenenko",52.65,43.35,96,3.16,8.7,2021,"RUSCUP4","SP"
"452",24,24,"🇷🇺","Evgeni Semenenko",55.23,40.53,95.76,2.24,8.09,2022,"OLY","SP"
"453",25,25,"🇷🇺","Evgeni Semenenko",53.75,41.2,94.95,2.42,8.25,2021,"RUSCUPF","SP"
"454",26,26,"🇷🇺","Evgeni Semenenko",51.11,37.75,88.86,1.6,7.54,2021,"WTT","SP"
"455",27,27,"🇷🇺","Evgeni Semenenko",48.63,39.08,87.71,1.41,7.83,2022,"GPCAN","SP"
"456",28,28,"🇷🇺","Evgeni Semenenko",45.98,41.15,87.13,2.81,8.21,2021,"NATRUS","SP"
"457",29,29,"🇷🇺","Evgeni Semenenko",48.8,38.06,86.86,0.98,7.53,2021,"WC","SP"
"458",30,30,"🇷🇺","Evgeni Semenenko",45.03,40.8,85.83,1.49,8.14,2021,"RUSCUP2","SP"
"459",31,31,"🇷🇺","Evgeni Semenenko",42.97,40.45,83.42,1.34,8.04,2021,"GPRUS","SP"
"460",32,32,"🇷🇺","Evgeni Semenenko",41.53,40.47,81,0.13,8.08,2022,"GPRUS","SP"
"461",33,33,"🇷🇺","Evgeni Semenenko",42.47,38.4,80.87,2.53,7.64,2020,"RUSCUPF","SP"
"462",34,34,"🇷🇺","Evgeni Semenenko",42.5,37.86,80.36,2.39,7.56,2020,"NATRUS","SP"
"463",35,35,"🇷🇺","Evgeni Semenenko",47.22,32.76,79.98,1.94,6.52,2020,"TALCUP","SP"
"464",36,36,"🇷🇺","Evgeni Semenenko",39.47,41.39,79.86,1.63,8.29,2021,"NATRUS","SP"
"465",37,37,"🇷🇺","Evgeni Semenenko",42.19,37.25,79.44,2.27,7.44,2020,"RUSCUP4","SP"
"466",38,38,"🇷🇺","Evgeni Semenenko",41.83,36.35,78.18,1.98,7.19,2020,"RUSCUP2","SP"
"467",39,39,"🇷🇺","Evgeni Semenenko",42.66,34.6,77.26,2.11,6.84,2019,"RUSCUP5","SP"
"468",40,40,"🇷🇺","Evgeni Semenenko",33.66,36.97,69.63,0.2,7.47,2022,"FINTRO","SP"
"469",41,41,"🇷🇺","Evgeni Semenenko",30.24,34.65,63.89,-0.61,6.95,2019,"RUSCUPF","SP"
