"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"235",37,37,"🇮🇹","Guignard / Fabbri",43.19,36.37,79.56,2.79,9.1,2022,"GPRUS","RD"
"236",38,38,"🇮🇹","Guignard / Fabbri",43.19,36.28,79.47,2.94,9.06,2020,"LOMTRO","RD"
"237",39,39,"🇮🇹","Guignard / Fabbri",43.1,35.95,79.05,3.07,8.97,2019,"EC","RD"
"238",40,40,"🇮🇹","Guignard / Fabbri",42.94,35.88,78.82,3.05,8.96,2022,"GPCAN","RD"
"239",41,41,"🇮🇹","Guignard / Fabbri",42.59,35.71,78.3,3.13,8.92,2019,"GPF","RD"
"240",42,42,"🇮🇹","Guignard / Fabbri",42.56,35.8,77.36,3.11,8.94,2019,"GPFIN","RD"
"241",43,43,"🇮🇹","Guignard / Fabbri",41.72,35.24,76.96,2.94,8.81,2019,"ALPTRO","RD"
"242",44,44,"🇮🇹","Guignard / Fabbri",41.63,34.4,76.03,2.94,8.56,2019,"LOMTRO","RD"
"243",45,45,"🇮🇹","Guignard / Fabbri",40.86,34.15,75.01,2.73,8.53,2019,"GPUSA","RD"
"244",1,1,"🇬🇧","Fear / Gibson",67.02,52.48,119.5,3.05,8.73,2021,"WC","FD"
"245",2,2,"🇬🇧","Fear / Gibson",67.04,52.24,119.28,3.17,8.67,2022,"WC","FD"
"246",3,3,"🇬🇧","Fear / Gibson",66.69,51.99,118.68,3.17,8.62,2020,"GPCAN","FD"
"247",4,4,"🇬🇧","Fear / Gibson",66.19,51.89,118.08,3.02,8.57,2020,"EC","FD"
"248",5,5,"🇬🇧","Fear / Gibson",66.87,50.5,117.37,3.2,8.43,2020,"SHATRO","FD"
"249",6,6,"🇬🇧","Fear / Gibson",66.94,49.98,116.92,3.11,8.34,2020,"GPJPN","FD"
"250",7,7,"🇬🇧","Fear / Gibson",65.06,51.6,116.66,2.82,8.64,2022,"ANDOPN","FD"
"251",8,8,"🇬🇧","Fear / Gibson",63.96,52.08,116.04,2.92,8.69,2022,"EC","FD"
"252",9,9,"🇬🇧","Fear / Gibson",64.13,51.48,115.61,2.88,8.54,2022,"FINTRO","FD"
"253",10,10,"🇬🇧","Fear / Gibson",63.34,52.14,115.48,2.82,8.7,2022,"GPJPN","FD"
"254",11,11,"🇬🇧","Fear / Gibson",63.21,51.98,115.19,2.76,8.67,2022,"OLY","FD"
"255",12,12,"🇬🇧","Fear / Gibson",65.37,48.66,114.03,3.03,8.17,2020,"ATMCLA","FD"
"256",13,13,"🇬🇧","Fear / Gibson",64.77,48.66,113.43,2.9,8.11,2020,"NEBTRO","FD"
"257",14,14,"🇬🇧","Fear / Gibson",65.45,48.84,113.29,3.31,8.17,2019,"GPJPN","FD"
"258",15,15,"🇬🇧","Fear / Gibson",63.3,48.98,112.28,2.96,8.19,2019,"EC","FD"
"259",16,16,"🇬🇧","Fear / Gibson",62.75,48.36,111.11,2.88,8.05,2019,"WC","FD"
"260",17,17,"🇬🇧","Fear / Gibson",56.52,49.67,106.19,1.94,8.24,2022,"GPCAN","FD"
"261",18,18,"🇬🇧","Fear / Gibson",58.78,47.21,105.99,2.3,7.85,2019,"GPUSA","FD"
"262",19,19,"🇬🇧","Fear / Gibson",59.95,43.36,103.31,2.39,7.22,2019,"NEBTRO","FD"
"263",20,20,"🇬🇧","Fear / Gibson",57.87,41.64,99.51,2.17,6.91,2019,"NEPMEM","FD"
"264",21,21,"🇬🇧","Fear / Gibson",45.37,34.6,79.97,2.89,8.64,2022,"EC","RD"
"265",22,22,"🇬🇧","Fear / Gibson",44.47,34.42,78.89,2.69,8.62,2022,"WC","RD"
"266",23,23,"🇬🇧","Fear / Gibson",42.94,34.48,77.42,2.5,8.62,2021,"WC","RD"
"267",24,24,"🇬🇧","Fear / Gibson",42.92,33.75,76.67,2.58,8.4,2020,"GPCAN","RD"
"268",25,25,"🇬🇧","Fear / Gibson",41.7,34.75,76.45,2.69,8.69,2022,"OLY","RD"
"269",26,26,"🇬🇧","Fear / Gibson",43.11,33.32,76.43,2.72,8.3,2020,"SHATRO","RD"
"270",27,26,"🇬🇧","Fear / Gibson",41.95,34.48,76.43,2.46,8.64,2022,"GPJPN","RD"
"271",28,28,"🇬🇧","Fear / Gibson",42.92,33.17,76.09,2.42,8.29,2020,"GPJPN","RD"
"272",29,29,"🇬🇧","Fear / Gibson",42.86,31.96,74.82,2.66,8.04,2020,"NEBTRO","RD"
"273",30,30,"🇬🇧","Fear / Gibson",40.88,33.9,74.78,2.48,8.46,2022,"FINTRO","RD"
"274",31,31,"🇬🇧","Fear / Gibson",40.77,33.49,74.26,2.6,8.31,2020,"EC","RD"
"275",32,32,"🇬🇧","Fear / Gibson",40.07,33.86,73.93,2.44,8.48,2022,"ANDOPN","RD"
"276",33,33,"🇬🇧","Fear / Gibson",38.42,33.47,71.89,2,8.36,2022,"GPCAN","RD"
"277",34,34,"🇬🇧","Fear / Gibson",38.3,31.76,70.06,2.59,7.99,2020,"ATMCLA","RD"
"278",35,35,"🇬🇧","Fear / Gibson",37.6,32.17,69.77,2.44,8.05,2019,"EC","RD"
"279",36,36,"🇬🇧","Fear / Gibson",36.68,31.78,68.46,2.02,7.87,2019,"WC","RD"
"280",37,37,"🇬🇧","Fear / Gibson",34.76,29.95,64.71,1.71,7.44,2019,"GPUSA","RD"
"281",38,38,"🇬🇧","Fear / Gibson",33.58,30.33,63.91,1.12,7.57,2019,"GPJPN","RD"
"282",39,39,"🇬🇧","Fear / Gibson",33.06,26.28,59.34,1.48,6.61,2019,"NEPMEM","RD"
"283",40,40,"🇬🇧","Fear / Gibson",31.15,26.15,57.3,0.86,6.6,2019,"NEBTRO","RD"
"284",1,1,"🇨🇦","F-Beaudry / Sørensen",66.62,53.22,119.84,3.19,8.86,2020,"NEBTRO","FD"
"285",2,2,"🇨🇦","F-Beaudry / Sørensen",66,53.01,119.01,2.98,8.84,2021,"WC","FD"
"286",3,3,"🇨🇦","F-Beaudry / Sørensen",65.08,53.28,118.36,3.13,8.87,2020,"GPUSA","FD"
"287",4,4,"🇨🇦","F-Beaudry / Sørensen",64.97,52.32,117.29,2.94,8.74,2022,"ICECHA","FD"
"288",5,5,"🇨🇦","F-Beaudry / Sørensen",63.57,52.44,115.01,2.65,8.73,2022,"GPRUS","FD"
"289",6,6,"🇨🇦","F-Beaudry / Sørensen",63.64,52.16,114.8,2.82,8.72,2022,"GPUSA","FD"
"290",7,7,"🇨🇦","F-Beaudry / Sørensen",61.05,52.76,113.81,2.79,8.78,2022,"OLY","FD"
"291",8,8,"🇨🇦","F-Beaudry / Sørensen",61.92,51.69,113.61,2.97,8.58,2019,"4CC","FD"
"292",9,9,"🇨🇦","F-Beaudry / Sørensen",62.44,50.9,113.34,2.78,8.48,2019,"WC","FD"
"293",10,10,"🇨🇦","F-Beaudry / Sørensen",61.03,51.3,112.33,2.77,8.49,2020,"GPCHN","FD"
"294",11,11,"🇨🇦","F-Beaudry / Sørensen",58.69,52.56,110.25,2.59,8.72,2020,"LOMTRO","FD"
"295",12,11,"🇨🇦","F-Beaudry / Sørensen",59.5,50.75,110.25,2.64,8.42,2022,"WC","FD"
"296",13,13,"🇨🇦","F-Beaudry / Sørensen",57.02,51.6,108.62,2.1,8.59,2022,"LOMTRO","FD"
"297",14,14,"🇨🇦","F-Beaudry / Sørensen",46.44,34.72,81.16,3,8.69,2020,"NEBTRO","RD"
"298",15,15,"🇨🇦","F-Beaudry / Sørensen",44.35,34.82,79.17,2.77,8.65,2020,"GPUSA","RD"
"299",16,16,"🇨🇦","F-Beaudry / Sørensen",43.87,35.24,79.11,2.97,8.81,2020,"LOMTRO","RD"
"300",17,17,"🇨🇦","F-Beaudry / Sørensen",43.89,34.65,78.54,2.69,8.68,2022,"OLY","RD"
"301",18,18,"🇨🇦","F-Beaudry / Sørensen",44.07,34.34,78.41,2.61,8.52,2020,"GPCHN","RD"
"302",19,19,"🇨🇦","F-Beaudry / Sørensen",43.83,34.46,78.29,2.93,8.62,2022,"WC","RD"
"303",20,20,"🇨🇦","F-Beaudry / Sørensen",43.36,34.51,77.87,2.62,8.62,2021,"WC","RD"
"304",21,21,"🇨🇦","F-Beaudry / Sørensen",42.46,34.92,77.38,2.49,8.74,2022,"ICECHA","RD"
"305",22,22,"🇨🇦","F-Beaudry / Sørensen",41.8,34.84,76.64,2.57,8.73,2022,"LOMTRO","RD"
"306",23,23,"🇨🇦","F-Beaudry / Sørensen",42.08,34.31,76.39,2.3,8.56,2022,"GPRUS","RD"
"307",24,24,"🇨🇦","F-Beaudry / Sørensen",40.77,34.56,75.33,2.6,8.66,2022,"GPUSA","RD"
"308",25,25,"🇨🇦","F-Beaudry / Sørensen",41.6,33.16,74.76,2.44,8.29,2019,"WC","RD"
"309",26,26,"🇨🇦","F-Beaudry / Sørensen",41.02,33.28,73.3,2.62,8.32,2019,"4CC","RD"
"310",1,1,"🇪🇸","Smart / Díaz",67.71,53.7,121.41,3.3,8.93,2022,"OLY","FD"
"311",2,2,"🇪🇸","Smart / Díaz",67.15,52.72,118.87,3.22,8.79,2022,"EC","FD"
"312",3,3,"🇪🇸","Smart / Díaz",65.16,50.95,116.11,3.02,8.47,2022,"ATMCLA","FD"
"313",4,4,"🇪🇸","Smart / Díaz",64.21,51.75,115.96,3.26,8.65,2022,"GPCAN","FD"
"314",5,5,"🇪🇸","Smart / Díaz",64.41,51.22,115.63,2.86,8.54,2022,"GPUSA","FD"
"315",6,6,"🇪🇸","Smart / Díaz",62.79,52.44,115.23,3.03,8.72,2022,"WC","FD"
"316",7,7,"🇪🇸","Smart / Díaz",64.32,50.19,114.51,2.8,8.22,2020,"LPIDI","FD"
"317",8,8,"🇪🇸","Smart / Díaz",63.36,51.03,114.39,2.95,8.48,2020,"GPUSA","FD"
"318",9,9,"🇪🇸","Smart / Díaz",62.78,50.37,113.15,2.67,8.38,2022,"FINTRO","FD"
"319",10,10,"🇪🇸","Smart / Díaz",61.77,51.32,112.09,2.58,8.55,2020,"GPFRA","FD"
"320",11,11,"🇪🇸","Smart / Díaz",61.17,50.58,111.75,2.61,8.38,2020,"NEBTRO","FD"
"321",12,12,"🇪🇸","Smart / Díaz",61.05,51.3,111.35,2.76,8.56,2022,"ICECHA","FD"
"322",13,13,"🇪🇸","Smart / Díaz",62.21,48.72,110.93,2.46,8.14,2020,"EC","FD"
"323",14,14,"🇪🇸","Smart / Díaz",62.88,48,110.88,2.55,7.94,2020,"ATMCLA","FD"
"324",15,15,"🇪🇸","Smart / Díaz",58.21,49.25,107.46,2.33,8.18,2019,"FINTRO","FD"
"325",16,16,"🇪🇸","Smart / Díaz",58.22,48.6,106.82,2.62,8.11,2019,"EC","FD"
"326",17,17,"🇪🇸","Smart / Díaz",54.67,49.55,104.22,2.27,8.21,2019,"GPCAN","FD"
"327",18,18,"🇪🇸","Smart / Díaz",57.3,47.76,104.06,2.35,8,2019,"ATMCLA","FD"
"328",19,19,"🇪🇸","Smart / Díaz",49.93,48.6,97.53,1.73,8.11,2019,"GPFRA","FD"
"329",20,20,"🇪🇸","Smart / Díaz",44.51,34.89,79.4,2.8,8.73,2022,"WC","RD"
"330",21,21,"🇪🇸","Smart / Díaz",43.49,35.04,78.53,2.66,8.77,2022,"ICECHA","RD"
"331",22,22,"🇪🇸","Smart / Díaz",43.73,34.26,77.99,2.69,8.56,2022,"EC","RD"
"332",23,23,"🇪🇸","Smart / Díaz",42.78,34.92,77.7,2.64,8.72,2022,"OLY","RD"
"333",24,24,"🇪🇸","Smart / Díaz",43.08,33.89,76.97,2.77,8.5,2022,"GPCAN","RD"
"334",25,25,"🇪🇸","Smart / Díaz",42.76,33.86,76.62,2.71,8.42,2020,"GPUSA","RD"
"335",26,26,"🇪🇸","Smart / Díaz",42.04,34.05,76.09,2.64,8.52,2020,"GPFRA","RD"
"336",27,27,"🇪🇸","Smart / Díaz",43.04,32.76,75.8,2.86,8.14,2020,"NEBTRO","RD"
"337",28,28,"🇪🇸","Smart / Díaz",42.4,32.8,75.2,2.48,8.09,2022,"ATMCLA","RD"
"338",29,29,"🇪🇸","Smart / Díaz",40.43,33.63,74.06,2.5,8.41,2022,"GPUSA","RD"
"339",30,30,"🇪🇸","Smart / Díaz",39.64,33.03,72.67,2.18,8.27,2022,"FINTRO","RD"
"340",31,31,"🇪🇸","Smart / Díaz",39.02,33.59,72.61,2.67,8.34,2019,"FINTRO","RD"
"341",32,32,"🇪🇸","Smart / Díaz",38.82,33.53,72.35,2.58,8.37,2019,"GPCAN","RD"
"342",33,33,"🇪🇸","Smart / Díaz",41.02,32.17,72.19,2.2,8.04,2020,"EC","RD"
"343",34,34,"🇪🇸","Smart / Díaz",39.79,30.84,70.63,2,7.76,2020,"ATMCLA","RD"
"344",35,35,"🇪🇸","Smart / Díaz",38.06,32.05,70.11,1.46,7.87,2020,"LPIDI","RD"
"345",36,36,"🇪🇸","Smart / Díaz",37.54,32.48,70.02,2.09,8.13,2019,"EC","RD"
"346",37,37,"🇪🇸","Smart / Díaz",34.47,33.69,68.16,2.12,8.46,2019,"GPFRA","RD"
"347",38,38,"🇪🇸","Smart / Díaz",36.31,31.04,67.35,1.91,7.75,2019,"ATMCLA","RD"
"348",1,1,"🇺🇸","Hawayek / Baker",65.25,51.47,116.72,2.76,8.57,2022,"GLDSPN","FD"
"349",2,2,"🇺🇸","Hawayek / Baker",64.74,51.96,116.7,3.02,8.64,2020,"NEBTRO","FD"
"350",3,3,"🇺🇸","Hawayek / Baker",64.52,52.04,116.56,2.89,8.64,2020,"4CC","FD"
"351",4,4,"🇺🇸","Hawayek / Baker",63.64,51.81,115.45,3.05,8.63,2019,"4CC","FD"
"352",5,5,"🇺🇸","Hawayek / Baker",63.61,51.64,115.25,2.7,8.61,2020,"GPCAN","FD"
"353",6,6,"🇺🇸","Hawayek / Baker",62.99,52.17,115.16,2.72,8.7,2022,"OLY","FD"
"354",7,7,"🇺🇸","Hawayek / Baker",63.83,51.22,115.05,2.86,8.54,2022,"WC","FD"
"355",8,8,"🇺🇸","Hawayek / Baker",62.28,51.64,113.92,3.06,8.58,2019,"GPJPN","FD"
"356",9,9,"🇺🇸","Hawayek / Baker",62.4,51.5,113.9,2.48,8.57,2022,"GPRUS","FD"
"357",10,10,"🇺🇸","Hawayek / Baker",62.63,50.8,113.43,2.42,8.43,2021,"WC","FD"
"358",11,11,"🇺🇸","Hawayek / Baker",62,51.16,113.16,2.79,8.52,2019,"WC","FD"
"359",12,12,"🇺🇸","Hawayek / Baker",61.59,51.12,112.71,2.7,8.53,2019,"GPF","FD"
"360",13,13,"🇺🇸","Hawayek / Baker",60.36,51.26,111.62,2.47,8.51,2019,"GPFRA","FD"
"361",14,14,"🇺🇸","Hawayek / Baker",59.34,50.82,110.16,2.58,8.49,2021,"WTT","FD"
"362",15,15,"🇺🇸","Hawayek / Baker",54.52,50.74,105.26,2.03,8.43,2020,"GPCHN","FD"
"363",16,16,"🇺🇸","Hawayek / Baker",44.89,34.63,79.52,2.76,8.64,2020,"GPCAN","RD"
"364",17,17,"🇺🇸","Hawayek / Baker",42.39,34.4,76.79,2.49,8.61,2021,"WTT","RD"
"365",18,18,"🇺🇸","Hawayek / Baker",42.76,33.8,76.56,2.47,8.45,2022,"WC","RD"
"366",19,19,"🇺🇸","Hawayek / Baker",41.58,34.32,75.9,2.71,8.61,2019,"WC","RD"
"367",20,20,"🇺🇸","Hawayek / Baker",41.89,33.88,75.77,2.49,8.45,2020,"NEBTRO","RD"
"368",21,21,"🇺🇸","Hawayek / Baker",41.33,33.75,75.08,2.25,8.43,2021,"WC","RD"
"369",22,22,"🇺🇸","Hawayek / Baker",40.8,33.9,74.7,2.49,8.46,2020,"GPCHN","RD"
"370",23,23,"🇺🇸","Hawayek / Baker",41.34,33.26,74.6,2.23,8.32,2022,"GLDSPN","RD"
"371",24,24,"🇺🇸","Hawayek / Baker",40.8,33.78,74.58,2.4,8.42,2022,"OLY","RD"
"372",25,25,"🇺🇸","Hawayek / Baker",39.94,34.48,74.42,2.78,8.59,2019,"4CC","RD"
"373",26,26,"🇺🇸","Hawayek / Baker",40.59,33.13,73.72,2.09,8.24,2022,"GPRUS","RD"
"374",27,27,"🇺🇸","Hawayek / Baker",40.34,33.59,71.93,1.49,8.38,2020,"4CC","RD"
"375",28,28,"🇺🇸","Hawayek / Baker",37.58,33.75,71.33,2.33,8.42,2019,"GPF","RD"
"376",29,29,"🇺🇸","Hawayek / Baker",36.76,33.95,70.71,2.65,8.46,2019,"GPJPN","RD"
"377",30,30,"🇺🇸","Hawayek / Baker",35.64,34.21,69.85,2.2,8.54,2019,"GPFRA","RD"
"378",1,1,"🇷🇺","Zagorski / Guerreiro",61.97,50.96,112.93,2.5,8.39,2020,"EC","FD"
"379",2,2,"🇷🇺","Zagorski / Guerreiro",62.21,50.66,112.87,2.44,8.44,2021,"WC","FD"
"380",3,3,"🇷🇺","Zagorski / Guerreiro",61.95,51.6,112.55,2.82,8.61,2019,"WARCUP","FD"
"381",4,4,"🇷🇺","Zagorski / Guerreiro",60.69,50.7,111.39,2.59,8.45,2019,"GPF","FD"
"382",5,5,"🇷🇺","Zagorski / Guerreiro",61.49,49.15,110.64,2.46,8.19,2020,"GPUSA","FD"
"383",6,6,"🇷🇺","Zagorski / Guerreiro",60.85,49.54,109.39,1.93,8.23,2020,"GPFRA","FD"
"384",7,7,"🇷🇺","Zagorski / Guerreiro",60.36,49.72,108.08,2.54,8.29,2019,"GPUSA","FD"
"385",8,8,"🇷🇺","Zagorski / Guerreiro",58.29,50.27,107.56,2.31,8.37,2019,"GPJPN","FD"
"386",9,9,"🇷🇺","Zagorski / Guerreiro",42.33,33.25,75.58,2.09,8.29,2021,"WC","RD"
"387",10,10,"🇷🇺","Zagorski / Guerreiro",41.35,34.14,75.49,2.52,8.51,2019,"GPJPN","RD"
"388",11,11,"🇷🇺","Zagorski / Guerreiro",41.93,33.17,75.1,2.27,8.25,2020,"EC","RD"
"389",12,12,"🇷🇺","Zagorski / Guerreiro",43.16,32.89,75.05,2.38,8.22,2020,"GPFRA","RD"
"390",13,13,"🇷🇺","Zagorski / Guerreiro",41.53,33.32,74.85,2.63,8.38,2019,"WARCUP","RD"
"391",14,14,"🇷🇺","Zagorski / Guerreiro",40.27,33.03,73.3,2.36,8.25,2019,"GPUSA","RD"
"392",15,15,"🇷🇺","Zagorski / Guerreiro",39.21,33.77,72.98,2.31,8.43,2019,"GPF","RD"
"393",16,16,"🇷🇺","Zagorski / Guerreiro",39.58,31.6,71.18,1.95,7.88,2020,"GPUSA","RD"
"394",1,1,"🇪🇸","Hurtado / Khaliavin",64.57,53.82,117.39,2.87,8.93,2020,"ICESTR","FD"
"395",2,2,"🇪🇸","Hurtado / Khaliavin",64.52,51.55,116.07,2.87,8.58,2022,"EC","FD"
"396",3,3,"🇪🇸","Hurtado / Khaliavin",62.04,51.96,114,2.56,8.68,2022,"GPRUS","FD"
"397",4,4,"🇪🇸","Hurtado / Khaliavin",62.74,50.26,113,2.48,8.4,2020,"GPRUS","FD"
"398",5,5,"🇪🇸","Hurtado / Khaliavin",62.21,50.19,112.4,2.5,8.34,2020,"EC","FD"
"399",6,6,"🇪🇸","Hurtado / Khaliavin",60.88,51.06,111.94,2.43,8.51,2020,"NEPMEM","FD"
"400",7,7,"🇪🇸","Hurtado / Khaliavin",61.98,50.89,111.87,2.48,8.48,2021,"WC","FD"
"401",8,8,"🇪🇸","Hurtado / Khaliavin",59.79,51.9,111.69,2.59,8.66,2022,"GPJPN","FD"
"402",9,9,"🇪🇸","Hurtado / Khaliavin",62.42,49.97,111.39,2.82,8.34,2019,"EC","FD"
"403",10,10,"🇪🇸","Hurtado / Khaliavin",61.01,49.77,110.78,2.4,8.27,2022,"FINTRO","FD"
"404",11,11,"🇪🇸","Hurtado / Khaliavin",59.16,49.32,108.48,2.33,8.19,2019,"WC","FD"
"405",12,12,"🇪🇸","Hurtado / Khaliavin",59.59,49.74,108.33,2.34,8.27,2022,"LOMTRO","FD"
"406",13,13,"🇪🇸","Hurtado / Khaliavin",58.6,49.42,108.02,2.48,8.24,2019,"GPRUS","FD"
"407",14,14,"🇪🇸","Hurtado / Khaliavin",57.59,50.28,107.87,2.46,8.37,2020,"GPCAN","FD"
"408",15,15,"🇪🇸","Hurtado / Khaliavin",58.67,48.17,105.84,2.37,8.03,2019,"GPFIN","FD"
"409",16,16,"🇪🇸","Hurtado / Khaliavin",58.04,47.4,104.44,2.36,7.91,2019,"LOMTRO","FD"
"410",17,17,"🇪🇸","Hurtado / Khaliavin",42.51,34.52,77.03,2.4,8.57,2020,"NEPMEM","RD"
"411",18,18,"🇪🇸","Hurtado / Khaliavin",41.72,34.68,76.4,2.69,8.66,2022,"GPJPN","RD"
"412",19,19,"🇪🇸","Hurtado / Khaliavin",41.88,34.2,76.08,2.15,8.54,2020,"ICESTR","RD"
"413",20,20,"🇪🇸","Hurtado / Khaliavin",41.8,34.14,75.94,2.11,8.52,2022,"GPRUS","RD"
"414",21,21,"🇪🇸","Hurtado / Khaliavin",42.66,34.17,75.83,2.62,8.53,2022,"EC","RD"
"415",22,22,"🇪🇸","Hurtado / Khaliavin",41.82,32.97,74.79,2.15,8.26,2022,"FINTRO","RD"
"416",23,23,"🇪🇸","Hurtado / Khaliavin",41.16,33.1,74.26,2.21,8.29,2021,"WC","RD"
"417",24,24,"🇪🇸","Hurtado / Khaliavin",40.63,32.81,73.44,2.17,8.19,2020,"EC","RD"
"418",25,25,"🇪🇸","Hurtado / Khaliavin",39.7,33.07,72.77,1.93,8.27,2020,"GPCAN","RD"
"419",26,26,"🇪🇸","Hurtado / Khaliavin",39.49,33.16,72.65,2,8.24,2022,"LOMTRO","RD"
"420",27,27,"🇪🇸","Hurtado / Khaliavin",40.22,32.23,72.45,2.09,8.04,2019,"WC","RD"
"421",28,28,"🇪🇸","Hurtado / Khaliavin",38.82,33.19,72.01,1.98,8.27,2020,"GPRUS","RD"
"422",29,29,"🇪🇸","Hurtado / Khaliavin",37.06,32.22,69.28,1.67,8.08,2019,"EC","RD"
"423",30,30,"🇪🇸","Hurtado / Khaliavin",34.28,32.12,66.4,1.31,8.01,2019,"GPRUS","RD"
"424",31,31,"🇪🇸","Hurtado / Khaliavin",35.41,30.84,66.25,1.34,7.68,2019,"GPFIN","RD"
"425",32,32,"🇪🇸","Hurtado / Khaliavin",34.55,30.48,65.03,1.3,7.61,2019,"LOMTRO","RD"
"426",1,1,"🇨🇳","Wang / Liu",67.95,51.35,119.3,3.27,8.55,2020,"4CC","FD"
"427",2,2,"🇨🇳","Wang / Liu",63.06,48.7,111.76,2.6,8.04,2020,"TORCUP","FD"
"428",3,3,"🇨🇳","Wang / Liu",62.39,49.29,111.68,2.69,8.21,2020,"GPCHN","FD"
"429",4,4,"🇨🇳","Wang / Liu",62.7,48.71,111.41,2.62,8.01,2020,"FINTRO","FD"
"430",5,5,"🇨🇳","Wang / Liu",61.22,50.09,111.31,2.56,8.35,2022,"GPITA","FD"
"431",6,6,"🇨🇳","Wang / Liu",61.34,50.67,111.01,2.51,8.44,2022,"OLY","FD"
"432",7,7,"🇨🇳","Wang / Liu",61.99,49.92,110.91,2.56,8.31,2022,"ASNTRO","FD"
"433",8,8,"🇨🇳","Wang / Liu",60.7,48.66,109.36,2.75,8.1,2020,"NEBTRO","FD"
"434",9,9,"🇨🇳","Wang / Liu",59.6,49.33,108.93,2.32,8.18,2021,"WC","FD"
"435",10,10,"🇨🇳","Wang / Liu",60.25,48.13,108.38,2.53,7.96,2020,"GPJPN","FD"
"436",11,11,"🇨🇳","Wang / Liu",57.41,49.77,107.18,2.31,8.29,2022,"OLYT","FD"
"437",12,12,"🇨🇳","Wang / Liu",59.31,46.11,105.42,2.4,7.69,2019,"WC","FD"
"438",13,13,"🇨🇳","Wang / Liu",59.27,45.47,104.74,2.45,7.55,2019,"4CC","FD"
"439",14,14,"🇨🇳","Wang / Liu",55.82,45.87,101.69,2.04,7.65,2019,"GPJPN","FD"
"440",15,15,"🇨🇳","Wang / Liu",56.73,44.76,101.49,2.01,7.52,2019,"ATMCLA","FD"
"441",16,16,"🇨🇳","Wang / Liu",54.78,45.1,99.88,2.1,7.54,2019,"TORCUP","FD"
"442",17,17,"🇨🇳","Wang / Liu",53.54,46.38,98.92,1.99,7.68,2019,"GPCAN","FD"
"443",18,18,"🇨🇳","Wang / Liu",52.77,44.17,96.94,2.28,7.31,2019,"ASNTRO","FD"
"444",19,19,"🇨🇳","Wang / Liu",43.62,33.83,77.45,2.67,8.44,2020,"4CC","RD"
"445",20,20,"🇨🇳","Wang / Liu",42.91,32.76,75.67,2.34,8.18,2022,"ASNTRO","RD"
"446",21,21,"🇨🇳","Wang / Liu",43.52,31.84,75.36,2.6,7.94,2020,"NEBTRO","RD"
"447",22,22,"🇨🇳","Wang / Liu",42.68,32.09,74.77,2.52,8,2020,"GPCHN","RD"
"448",23,23,"🇨🇳","Wang / Liu",42.16,32.57,74.73,2.49,8.13,2020,"GPJPN","RD"
"449",24,24,"🇨🇳","Wang / Liu",41.66,33,74.66,2.22,8.24,2022,"OLYT","RD"
"450",25,25,"🇨🇳","Wang / Liu",40.83,33.14,73.97,2.3,8.3,2021,"WC","RD"
"451",26,26,"🇨🇳","Wang / Liu",40.89,32.54,73.43,2.36,8.1,2020,"TORCUP","RD"
"452",27,27,"🇨🇳","Wang / Liu",40.16,33.25,73.41,2.27,8.31,2022,"OLY","RD"
"453",28,28,"🇨🇳","Wang / Liu",40.28,33,73.28,2.24,8.24,2022,"GPITA","RD"
"454",29,29,"🇨🇳","Wang / Liu",41.18,31.5,71.68,2.24,7.81,2020,"FINTRO","RD"
"455",30,30,"🇨🇳","Wang / Liu",37.98,30.49,68.47,2.16,7.64,2019,"WC","RD"
"456",31,31,"🇨🇳","Wang / Liu",36.51,30.45,66.96,2.09,7.61,2019,"GPCAN","RD"
"457",32,32,"🇨🇳","Wang / Liu",35.82,30.45,66.27,1.79,7.62,2019,"GPJPN","RD"
"458",33,33,"🇨🇳","Wang / Liu",36.08,29.28,65.36,1.84,7.34,2019,"TORCUP","RD"
"459",34,34,"🇨🇳","Wang / Liu",34.48,29.89,64.37,1.38,7.51,2019,"4CC","RD"
"460",35,35,"🇨🇳","Wang / Liu",35.1,28.5,63.6,1.86,7.08,2019,"ASNTRO","RD"
"461",36,36,"🇨🇳","Wang / Liu",35.21,28.36,63.57,1.3,7.1,2019,"ATMCLA","RD"
"462",1,1,"🇨🇦","Lajoie / Lagha",65.02,50.66,115.68,2.87,8.44,2020,"4CC","FD"
"463",2,2,"🇨🇦","Lajoie / Lagha",62.59,50.34,112.93,2.69,8.37,2022,"GPJPN","FD"
"464",3,3,"🇨🇦","Lajoie / Lagha",63.88,46.59,110.47,2.91,7.81,2022,"ATMCLA","FD"
"465",4,4,"🇨🇦","Lajoie / Lagha",60.39,48.71,109.1,2.45,8.12,2022,"FINTRO","FD"
"466",5,5,"🇨🇦","Lajoie / Lagha",59.9,48.81,108.71,2.28,8.11,2021,"WC","FD"
"467",6,6,"🇨🇦","Lajoie / Lagha",59.64,48.81,108.45,2.28,8.18,2022,"WC","FD"
"468",7,7,"🇨🇦","Lajoie / Lagha",58.93,49.5,108.43,2.18,8.24,2022,"OLY","FD"
"469",8,8,"🇨🇦","Lajoie / Lagha",58.23,48.97,107.2,2.33,8.14,2022,"GPCAN","FD"
"470",9,9,"🇨🇦","Lajoie / Lagha",60.19,47.84,107.03,2.4,7.94,2020,"GPCAN","FD"
"471",10,10,"🇨🇦","Lajoie / Lagha",54.93,51.03,105.96,3.43,8.53,2019,"WJC","FD"
