"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"52",26,26,"🇷🇺","Sinitsina / Katsalapov",49.17,37.6,86.77,3.76,9.39,2020,"SHATRO","RD"
"53",27,27,"🇷🇺","Sinitsina / Katsalapov",48.1,38.56,86.66,3.4,9.65,2021,"WTT","RD"
"54",28,28,"🇷🇺","Sinitsina / Katsalapov",47.57,38.76,86.33,3.77,9.69,2022,"GPJPN","RD"
"55",29,29,"🇷🇺","Sinitsina / Katsalapov",47.96,38.13,86.09,3.6,9.52,2020,"GPRUS","RD"
"56",30,30,"🇷🇺","Sinitsina / Katsalapov",47.91,37.48,85.39,3.49,9.28,2020,"GPCHN","RD"
"57",31,31,"🇷🇺","Sinitsina / Katsalapov",46.92,38.13,85.05,3.31,9.52,2022,"OLYT","RD"
"58",32,32,"🇷🇺","Sinitsina / Katsalapov",46.52,38.05,84.57,3.58,9.52,2019,"WTT","RD"
"59",33,33,"🇷🇺","Sinitsina / Katsalapov",46.1,37.84,83.94,3.6,9.44,2019,"WC","RD"
"60",34,34,"🇷🇺","Sinitsina / Katsalapov",44,37.51,81.51,3.16,9.38,2020,"GPF","RD"
"61",35,35,"🇷🇺","Sinitsina / Katsalapov",41.92,36.52,78.44,2.51,9.13,2020,"NEPMEM","RD"
"62",36,36,"🇷🇺","Sinitsina / Katsalapov",41.77,36.14,77.91,2.69,9,2019,"GPFRA","RD"
"63",37,37,"🇷🇺","Sinitsina / Katsalapov",40.88,36.45,77.33,3.09,9.12,2019,"GPF","RD"
"64",38,38,"🇷🇺","Sinitsina / Katsalapov",39.04,36.92,75.96,2.63,9.11,2019,"NEPMEM","RD"
"65",39,39,"🇷🇺","Sinitsina / Katsalapov",38.89,35.77,74.66,2.62,8.92,2019,"GPCAN","RD"
"66",40,40,"🇷🇺","Sinitsina / Katsalapov",37.59,34.65,70.24,1.47,8.71,2019,"EC","RD"
"67",1,1,"🇺🇸","Hubbell / Donohue",74.37,58.3,132.67,4.17,9.68,2022,"WC","FD"
"68",2,2,"🇺🇸","Hubbell / Donohue",73.56,58.33,130.89,4.05,9.71,2022,"OLY","FD"
"69",3,3,"🇺🇸","Hubbell / Donohue",71.28,57.38,128.66,3.88,9.53,2021,"WC","FD"
"70",4,4,"🇺🇸","Hubbell / Donohue",70.32,56.99,127.31,3.84,9.48,2019,"WC","FD"
"71",5,5,"🇺🇸","Hubbell / Donohue",70.44,56.67,127.11,3.95,9.44,2019,"WTT","FD"
"72",6,6,"🇺🇸","Hubbell / Donohue",68.79,57.17,125.96,3.53,9.52,2022,"GPUSA","FD"
"73",7,7,"🇺🇸","Hubbell / Donohue",68.93,56.28,125.21,3.6,9.38,2020,"GPF","FD"
"74",8,8,"🇺🇸","Hubbell / Donohue",67.73,57.09,124.82,3.88,9.51,2019,"GPF","FD"
"75",9,9,"🇺🇸","Hubbell / Donohue",68.55,56.03,124.58,3.32,9.32,2020,"GPUSA","FD"
"76",10,10,"🇺🇸","Hubbell / Donohue",67.74,56.5,123.24,3.36,9.41,2022,"USCLA","FD"
